TrialOnset,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,Accuracy,RT,Dur,Response
0,NA,NA,FIX,NA,NA,NA,0,,12.0251072320389,
12,XKQ,HEART,COMP_1W,match,0,BlueHeart_3.jpg,0,0,4.01820107805543,
16,QXSW,LEAF,COMP_1W,match,0,BlackLeaf_2.jpg,0,0,4.01691369595937,
20,XKQ,SHOE,COMP_1W,match,0,BlackShoe_3.jpg,0,0,4.01128521701321,
24,ZBXLV,FORK,COMP_1W,mismatch,2,BlueCup_1.jpg,0,0,4.01798328605946,
28,RJDNW,BONE,COMP_1W,match,0,GreenBone_1.jpg,0,0,4.01745607797056,
32,GREEN,BELL,COMP_2W,match,0,GreenBell_1.jpg,0,0,4.05143379396759,
36,RED,LOCK,COMP_2W,mismatch,1,RedNote_3.jpg,0,0,4.01627399702556,
40,BLUE,SHOE,COMP_2W,mismatch,3,BlueNote_3.jpg,0,0,4.01738758303691,
44,PINK,BONE,COMP_2W,match,0,PinkBone_3.jpg,0,0,4.01715657499153,
48,RED,BOW,COMP_2W,mismatch,3,RedBone_2.jpg,0,0,4.01652566704433,
52,ZBXLV,CROSS,LIST_1W,mismatch,2,BlackCup_1.jpg,0,0,4.01672279997729,
56,QXSW,CAR,LIST_1W,mismatch,3,RedFlag_2.jpg,0,0,4.0120087020332,
60,WVCNZ,BELL,LIST_1W,mismatch,1,BrownHouse_1.jpg,0,0,4.01659260306042,
64,WVCNZ,CAR,LIST_1W,match,0,BlackCar_3.jpg,0,0,4.01770293095615,
68,MTPV,HEART,LIST_1W,match,0,RedHeart_1.jpg,0,0,4.01206544006709,
72,CROSS,HAND,LIST_2W,mismatch,3,RedKey_1.jpg,0,0,4.01646880700719,
76,HOUSE,CAR,LIST_2W,match,0,BlackCar_1.jpg,0,0,4.01706472004298,
80,CUP,SQUARE,LIST_2W,match,0,RedSquare_1.jpg,0,0,4.0157657120144,
84,BOAT,STAR,LIST_2W,match,0,PinkBoat_3.jpg,0,0,4.01647194195539,
88,CROSS,LEAF,LIST_2W,mismatch,2,GreenFork_2.jpg,0,0,4.01578589901328,
