,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_1W,GreenBoat_3.jpg,match,0,Mtpv,Boat
2,COMP_1W,RedShoe_2.jpg,mismatch,2,Xkq,Bone
3,COMP_1W,BlueDisc_1.jpg,mismatch,1,Xkq,Tree
4,COMP_1W,BlackDisc_2.jpg,mismatch,2,Zbxlv,Bag
5,COMP_1W,GreenLamp_3.jpg,match,0,Zbxlv,Lamp
6,COMP_2W,RedLock_2.jpg,match,0,Red,Lock
7,COMP_2W,PinkSquare_1.jpg,mismatch,2,Blue,Square
8,COMP_2W,BlueLeaf_2.jpg,mismatch,3,Black,Cane
9,COMP_2W,GreenCup_1.jpg,mismatch,3,Red,Boat
10,COMP_2W,RedCane_1.jpg,match,0,Red,Cane
11,LIST_1W,GreenSquare_3.jpg,mismatch,2,Mtpv,Lock
12,LIST_1W,BrownFork_2.jpg,mismatch,2,Xkq,Bone
13,LIST_1W,BrownKey_2.jpg,mismatch,3,Rjdnw,Cane
14,LIST_1W,RedPlane_3.jpg,match,0,Mtpv,Plane
15,LIST_1W,PinkBell_3.jpg,match,0,Wvcnz,Bell
16,LIST_2W,BlackHand_2.jpg,match,0,Boat,Hand
17,LIST_2W,RedKey_2.jpg,mismatch,1,Boat,Bow
18,LIST_2W,BlackCup_3.jpg,match,0,Cup,House
19,LIST_2W,BlueBoat_2.jpg,match,0,Boat,Note
20,LIST_2W,BlackHand_3.jpg,mismatch,3,Plane,Key
21,FIX,NA,NA,NA,NA,NA
22,COMP_2W,GreenLeaf_1.jpg,mismatch,3,Brown,Cross
23,COMP_2W,RedBag_1.jpg,mismatch,2,Black,Bag
24,COMP_2W,PinkStar_2.jpg,match,0,Pink,Star
25,COMP_2W,BlackFork_1.jpg,mismatch,3,Green,Key
26,COMP_2W,BlackLamp_1.jpg,match,0,Black,Lamp
27,LIST_2W,BrownCup_1.jpg,match,0,Cup,Lock
28,LIST_2W,GreenBone_3.jpg,mismatch,2,Cup,Key
29,LIST_2W,GreenCross_3.jpg,match,0,Cross,Boat
30,LIST_2W,GreenBag_2.jpg,mismatch,2,Lamp,Bow
31,LIST_2W,PinkLeaf_3.jpg,mismatch,1,House,Star
32,COMP_1W,GreenLamp_3.jpg,match,0,Zbxlv,Lamp
33,COMP_1W,GreenCane_1.jpg,match,0,Wvcnz,Cane
34,COMP_1W,PinkCross_2.jpg,mismatch,1,Qxsw,Bag
35,COMP_1W,RedCar_3.jpg,mismatch,2,Xkq,Shoe
