,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_1W,RedCar_2.jpg,mismatch,2,QXSW,LEAF
2,COMP_1W,BlueBoat_2.jpg,mismatch,3,XKQ,KEY
3,COMP_1W,GreenLock_2.jpg,mismatch,2,MTPV,KEY
4,COMP_1W,BlackDisc_1.jpg,match,0,ZBXLV,DISC
5,COMP_1W,PinkBag_2.jpg,match,0,XKQ,BAG
6,COMP_2W,BlueStar_3.jpg,mismatch,3,PINK,HAND
7,COMP_2W,PinkHouse_2.jpg,mismatch,2,BLUE,HOUSE
8,COMP_2W,GreenBone_1.jpg,match,0,GREEN,BONE
9,COMP_2W,BrownKey_1.jpg,match,0,BROWN,KEY
10,COMP_2W,BrownSquare_1.jpg,mismatch,3,PINK,DISC
11,LIST_1W,BlackShoe_3.jpg,match,0,QXSW,SHOE
12,LIST_1W,GreenKey_1.jpg,mismatch,1,MTPV,HEART
13,LIST_1W,BlueCross_2.jpg,match,0,WVCNZ,CROSS
14,LIST_1W,RedKey_2.jpg,mismatch,3,ZBXLV,TREE
15,LIST_1W,BlackFlag_2.jpg,match,0,ZBXLV,FLAG
16,LIST_2W,BlackCane_2.jpg,mismatch,1,HOUSE,BELL
17,LIST_2W,BlackLeaf_2.jpg,mismatch,1,HOUSE,CANE
18,LIST_2W,RedCross_1.jpg,mismatch,2,BOAT,DISC
19,LIST_2W,BlueHouse_1.jpg,match,0,HOUSE,FORK
20,LIST_2W,BrownLeaf_3.jpg,match,0,HOUSE,LEAF
21,FIX,NA,NA,NA,NA,NA
22,COMP_2W,RedDisc_2.jpg,match,0,RED,DISC
23,COMP_2W,BlueHouse_1.jpg,mismatch,1,BLUE,STAR
24,COMP_2W,BrownCup_2.jpg,mismatch,2,PINK,CUP
25,COMP_2W,GreenHeart_1.jpg,match,0,GREEN,HEART
26,COMP_2W,GreenLock_1.jpg,mismatch,3,BROWN,HOUSE
27,LIST_2W,PinkPlane_3.jpg,match,0,PLANE,BONE
28,LIST_2W,PinkCross_1.jpg,match,0,CROSS,LAMP
29,LIST_2W,GreenCup_1.jpg,match,0,CUP,BAG
30,LIST_2W,BlackLamp_1.jpg,mismatch,2,BOAT,BOW
31,LIST_2W,BrownSquare_1.jpg,match,0,CUP,SQUARE
32,COMP_1W,BlueCane_1.jpg,mismatch,2,WVCNZ,CROSS
33,COMP_1W,GreenFork_2.jpg,mismatch,2,QXSW,BOW
34,COMP_1W,BlackTree_2.jpg,match,0,XKQ,TREE
35,COMP_1W,BrownNote_3.jpg,match,0,WVCNZ,NOTE
