,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,RJDNW,GREEN,WVCNZ,PLANE,DISC,match,0,1,GreenDisc_3.jpg,GreenDisc_3.jpg,RedDisc_3.jpg,BlackPlane_3.jpg
1,XKQ,RED,XKQ,CUP,DISC,match,0,2,RedDisc_2.jpg,RedDisc_2.jpg,BlueDisc_2.jpg,BlueDisc_3.jpg
2,MTPV,BLUE,QXSW,BOAT,DISC,mismatch,3,0,PinkHouse_1.jpg,BlackKey_1.jpg,BlueCross_1.jpg,BlueNote_2.jpg
3,QXSW,PINK,MTPV,LAMP,DISC,mismatch,3,0,PinkHand_1.jpg,BrownBow_1.jpg,BrownCup_3.jpg,RedLock_3.jpg
4,QXSW,BLUE,QXSW,LAMP,PLANE,match,0,1,PinkPlane_3.jpg,BluePlane_2.jpg,BlackPlane_3.jpg,RedLamp_2.jpg
5,MTPV,PINK,MTPV,BOAT,PLANE,match,0,2,PinkPlane_1.jpg,PinkPlane_1.jpg,GreenPlane_3.jpg,BrownPlane_3.jpg
6,WVCNZ,BROWN,RJDNW,HOUSE,PLANE,mismatch,2,0,RedTree_1.jpg,PinkPlane_2.jpg,BrownTree_3.jpg,BlackBow_2.jpg
7,XKQ,RED,XKQ,CUP,PLANE,mismatch,1,0,BrownHouse_3.jpg,RedTree_3.jpg,BrownFork_2.jpg,RedBell_1.jpg
8,QXSW,BLUE,QXSW,LAMP,BAG,match,0,1,RedBag_3.jpg,BlueBag_2.jpg,BlueBag_1.jpg,PinkLamp_1.jpg
9,ZBXLV,BROWN,WVCNZ,HOUSE,BAG,match,0,2,GreenBag_3.jpg,BrownBag_1.jpg,BlackBag_2.jpg,GreenBag_1.jpg
10,RJDNW,BLACK,ZBXLV,PLANE,BAG,mismatch,2,0,GreenBoat_3.jpg,RedBag_3.jpg,GreenFork_3.jpg,GreenCup_2.jpg
11,MTPV,PINK,MTPV,BOAT,BAG,mismatch,1,0,BlackKey_1.jpg,PinkBell_2.jpg,GreenNote_3.jpg,GreenBell_2.jpg
12,MTPV,BLUE,QXSW,BOAT,LOCK,match,0,1,PinkLock_3.jpg,BlueLock_3.jpg,PinkLock_3.jpg,BlueBoat_3.jpg
13,ZBXLV,GREEN,WVCNZ,CROSS,LOCK,match,0,2,BrownLock_1.jpg,GreenLock_3.jpg,BlackLock_2.jpg,RedLock_2.jpg
14,WVCNZ,BLACK,ZBXLV,PLANE,LOCK,mismatch,3,0,GreenPlane_1.jpg,RedFlag_1.jpg,BrownFlag_1.jpg,PinkCar_2.jpg
15,QXSW,PINK,MTPV,LAMP,LOCK,mismatch,2,0,GreenHand_1.jpg,PinkLock_1.jpg,BlueCar_1.jpg,RedBag_2.jpg
16,ZBXLV,BROWN,ZBXLV,CROSS,CANE,match,0,1,BlackCane_1.jpg,BrownCane_1.jpg,RedCane_3.jpg,BlueCross_2.jpg
17,MTPV,BLUE,MTPV,BOAT,CANE,match,0,2,PinkCane_2.jpg,BlueCane_1.jpg,PinkCane_1.jpg,GreenCane_3.jpg
18,QXSW,PINK,QXSW,LAMP,CANE,mismatch,3,0,GreenLamp_3.jpg,BrownSquare_3.jpg,BrownSquare_2.jpg,PinkNote_3.jpg
19,WVCNZ,GREEN,WVCNZ,PLANE,CANE,mismatch,1,0,BlackFork_3.jpg,GreenLeaf_1.jpg,BlackBone_2.jpg,BlackStar_1.jpg
20,XKQ,RED,XKQ,CUP,HAND,match,0,1,BrownHand_1.jpg,RedHand_3.jpg,BlackHand_1.jpg,RedCup_1.jpg
21,ZBXLV,BLACK,ZBXLV,CROSS,HAND,match,0,2,BlueHand_3.jpg,BlackHand_2.jpg,RedHand_3.jpg,BrownHand_1.jpg
