TrialOnset,PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI,Accuracy,RT,Response
4.02471509099996,73,High,COMEDIAN,OCCUPATION,Does it float in water?,7,1,4000,1,1.83557694599949,1
17.0630238550002,29,High,PURSE,CLOTHES+ACCESS,Is it alive?,0,0,4000,1,1.19990589200097,0
30.043811607,21,High,RING,ARTIFACTS,Can you hold it?,4,1,4000,1,0.864654097998937,1
43.0397036520008,54,Low,WINE,FOOD,Can you wear it?,3,0,4000,1,0.872370106000744,0
56.0437269470003,42,Low,HERB,FOOD,Is it alive?,0,0,4000,1,1.14976471400041,0
69.0608911630006,49,High,PHONE,ARTIFACTS,Did humans create it?,5,1,4000,0,1.66594880199955,0
82.0443595859997,86,Low,IDEOLOGY,OTHER,Can you eat or drink it?,1,0,4000,1,1.22932052800024,0
95.0442711590003,5,High,MOUSE,ANIMAL,Can you find it in the wild?,2,1,4000,1,0.878416366000238,1
108.044285714001,25,High,AXE,ARTIFACTS,Does it float in water?,7,0,4000,1,1.254777311,0
121.054879678,70,Low,DOCTOR,OCCUPATION,Did humans create it?,5,1,4000,1,1.39615253699958,1
134.049190723001,93,High,CHECKERS,SPORT+LEISURE,Can you wear it?,3,0,4000,1,0.908328731000438,0
147.044568404001,22,Low,COIN,ARTIFACTS,Can you eat or drink it?,1,0,4000,1,0.799516139999469,0
160.046511252,9,High,SPARROW,ANIMAL,Can you hold it?,4,1,4000,1,1.00110163600039,1
173.056894935,14,Low,SPIDER,ANIMAL,Can you hold it?,4,1,4000,1,1.05948369900034,1
186.046563856,94,Low,DANCE,SPORT+LEISURE,Can you wear it?,3,0,4000,1,0.971256298000299,0
199.046537905,90,Low,BOAT,SPORT+LEISURE,Can you find it in the wild?,2,0,4000,1,1.13356528199984,0
212.058898621,61,High,PINKIE,HUMAN PART,Can you wear it?,3,0,4000,1,1.51751280799908,0
225.059221797001,46,Low,SAUCE,FOOD,Is it alive?,0,0,4000,1,1.18951216300047,0
238.044607375001,13,High,FROG,ANIMAL,Can you hold it?,4,1,4000,0,1.76113208700008,0
251.047748317,38,Low,PASTA,FOOD,Does it make sounds?,6,0,4000,0,1.30510169099944,1
264.059133078001,34,Low,GRANDPARENT,FAMILY,Is it alive?,0,1,4000,1,0.951388186000258,1
277.044434932001,10,Low,LIZARD,ANIMAL,Can you find it in the wild?,2,1,4000,1,1.26595463500053,1
290.038849013001,45,High,KETCHUP,FOOD,Can you eat or drink it?,1,1,4000,1,0.821907978999661,1
303.043465589,85,High,DOLLAR,OTHER,Does it make sounds?,6,0,4000,1,1.37122989599993,0
316.062176163001,50,Low,ALCOHOL,FOOD,Did humans create it?,5,1,4000,1,0.824253642998883,1
329.051094254,74,Low,ARTIST,OCCUPATION,Did humans create it?,5,1,4000,0,1.6459240589993,0
342.052163632001,89,High,SPRING,OTHER,Can you find it in the wild?,2,1,4000,1,1.26090851000117,1
355.049829046,81,High,MURDER,OTHER,Does it make sounds?,6,0,4000,0,1.33479220800109,1
368.060036049001,18,Low,CANDY,FOOD,Can you hold it?,4,1,4000,1,0.926252820998343,1
381.047307345001,77,High,BALLERINA,OCCUPATION,Did humans create it?,5,1,4000,1,1.1573701010002,1
394.05937793,66,Low,MINERAL,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,1,1.64785378399938,1
407.059678448,78,Low,EMOTION,OTHER,Does it make sounds?,6,0,4000,1,1.89198115399995,0
420.039179643001,69,High,GOLD,NATURE INANIMATE,Does it make sounds?,6,0,4000,1,2.49882934299967,0
433.049351721,1,High,BULLDOG,ANIMAL,Does it float in water?,7,0,4000,1,1.74432115499985,0
446.047896686001,33,High,UNCLE,FAMILY,Did humans create it?,5,0,4000,0,2.39717613699941,1
459.045779779,58,Low,ORGAN,HUMAN PART,Can you hold it?,4,1,4000,1,1.16099772699999,1
472.044695153001,65,High,EARTHQUAKE,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,1,1.82904108799994,1
485.04715867,82,Low,MONSTER,OTHER,Can you eat or drink it?,1,0,4000,1,1.13191721300063,0
498.044224235,41,High,COKE,FOOD,Can you eat or drink it?,1,1,4000,1,1.37588297199909,1
511.046030995001,26,Low,CONTAINER,ARTIFACTS,Does it float in water?,7,1,4000,1,1.11645749200034,1
524.044483781001,53,High,EARTH,NATURE INANIMATE,Can you wear it?,3,0,4000,1,1.36514675699982,0
537.034365851001,57,High,TEA,FOOD,Can you eat or drink it?,1,1,4000,1,1.01272013000016,1
550.044572737001,6,Low,FISH,ANIMAL,Does it make sounds?,6,0,4000,0,0.770398607000971,1
563.044735993,17,High,ASPIRIN,ARTIFACTS,Is it alive?,0,0,4000,1,1.20763658099895,0
576.044765424,30,Low,HAT,CLOTHES+ACCESS,Can you wear it?,3,1,4000,1,0.858152591999897,1
589.052388841001,2,Low,INSECT,ANIMAL,Does it float in water?,7,1,4000,1,2.09862865800096,1
602.045636351,37,High,BROCCOLI,FOOD,Is it alive?,0,0,4000,1,1.03721972099993,0
615.043841636001,62,Low,MUSCLE,HUMAN PART,Does it float in water?,7,0,4000,1,1.63953272000072,0
