TrialOnset,PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI,Accuracy,RT,Response
4.06408232000103,5,High,MOUSE,ANIMAL,Can you find it in the wild?,2,1,4000,1,0.711224129001494,1
17.0972625540016,62,Low,MUSCLE,HUMAN PART,Is it alive?,0,0,4000,0,0.722988296998665,1
30.0770985159979,21,High,RING,ARTIFACTS,Did humans create it?,5,1,4000,1,0.773152021996793,1
43.0772019409997,2,Low,INSECT,ANIMAL,Can you hold it?,4,1,4000,1,0.726487964995613,1
56.1083704019984,29,High,PURSE,CLOTHES+ACCESS,Does it make sounds?,6,0,4000,1,0.947396442999889,0
69.0927601020012,82,Low,MONSTER,OTHER,Can you wear it?,3,0,4000,1,0.850514589998056,0
82.0890712320033,49,High,PHONE,ARTIFACTS,Does it float in water?,7,0,4000,1,0.964563418005127,0
95.109119822002,90,Low,BOAT,SPORT+LEISURE,Did humans create it?,5,1,4000,1,0.702916719994391,1
108.080232872999,9,High,SPARROW,ANIMAL,Can you hold it?,4,1,4000,1,0.83424743800424,1
121.083496391999,33,High,UNCLE,FAMILY,Did humans create it?,5,0,4000,1,0.855469418995199,0
134.081073781002,74,Low,ARTIST,OCCUPATION,Can you wear it?,3,0,4000,1,0.722288152996043,0
147.079929200001,13,High,FROG,ANIMAL,Can you find it in the wild?,2,1,4000,1,0.782004444998165,1
160.114912482,34,Low,GRANDPARENT,FAMILY,Is it alive?,0,1,4000,1,0.761166076001246,1
173.090046944002,38,Low,PASTA,FOOD,Can you eat or drink it?,1,1,4000,1,0.650548937999702,1
186.084434985998,37,High,BROCCOLI,FOOD,Does it make sounds?,6,0,4000,1,1.0622047700017,0
199.123190129001,17,High,ASPIRIN,ARTIFACTS,Can you eat or drink it?,1,1,4000,1,0.912370878002548,1
212.093109792004,66,Low,MINERAL,NATURE INANIMATE,Did humans create it?,5,0,4000,1,0.670979524998984,0
225.081030564004,53,High,EARTH,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,0,0.94032548800169,0
238.075451753,25,High,AXE,ARTIFACTS,Is it alive?,0,0,4000,1,0.64542683000036,0
251.093887310002,57,High,TEA,FOOD,Is it alive?,0,0,4000,1,0.975627773004817,0
264.077772709999,70,Low,DOCTOR,OCCUPATION,Does it float in water?,7,1,4000,1,0.796106955996947,1
277.090414154998,30,Low,HAT,CLOTHES+ACCESS,Can you hold it?,4,1,4000,1,0.915789272999973,1
290.083434733999,41,High,COKE,FOOD,Can you eat or drink it?,1,1,4000,1,0.740281090998906,1
303.077089605998,93,High,CHECKERS,SPORT+LEISURE,Can you wear it?,3,0,4000,1,0.768084745002852,0
316.082209517001,14,Low,SPIDER,ANIMAL,Does it float in water?,7,1,4000,1,1.23579429799429,1
329.082964572,65,High,EARTHQUAKE,NATURE INANIMATE,Is it alive?,0,0,4000,1,1.09992569500173,0
342.081964288001,77,High,BALLERINA,OCCUPATION,Does it make sounds?,6,1,4000,0,1.14824287800002,0
355.081630697998,94,Low,DANCE,SPORT+LEISURE,Can you eat or drink it?,1,0,4000,1,0.764251851003792,0
368.088611865001,26,Low,CONTAINER,ARTIFACTS,Does it make sounds?,6,0,4000,1,0.748650061002991,0
381.081896911004,58,Low,ORGAN,HUMAN PART,Does it make sounds?,6,0,4000,1,0.929219313999056,0
394.126858939002,69,High,GOLD,NATURE INANIMATE,Can you wear it?,3,1,4000,1,0.708890383000835,1
407.086287626,42,Low,HERB,FOOD,Can you eat or drink it?,1,1,4000,0,0.790747458995611,0
420.116888764998,1,High,BULLDOG,ANIMAL,Does it float in water?,7,0,4000,0,1.28009547699912,1
433.082439692,85,High,DOLLAR,OTHER,Can you hold it?,4,1,4000,1,0.859065655997256,1
446.072686229003,18,Low,CANDY,FOOD,Does it float in water?,7,0,4000,1,1.19761808800104,0
459.128167271003,54,Low,WINE,FOOD,Does it make sounds?,6,0,4000,1,0.944356081003207,0
472.076273644998,10,Low,LIZARD,ANIMAL,Can you find it in the wild?,2,1,4000,1,0.790181197000493,1
485.074238056004,89,High,SPRING,OTHER,Did humans create it?,5,0,4000,1,1.02072541200323,0
498.083914895004,61,High,PINKIE,HUMAN PART,Can you eat or drink it?,1,0,4000,1,0.72939623399725,0
511.083543480003,81,High,MURDER,OTHER,Can you wear it?,3,0,4000,1,0.714858059000107,0
524.093913516001,6,Low,FISH,ANIMAL,Can you find it in the wild?,2,1,4000,1,0.764191238995409,1
537.095681097999,86,Low,IDEOLOGY,OTHER,Did humans create it?,5,1,4000,1,0.531298684996727,1
550.097421746003,78,Low,EMOTION,OTHER,Can you wear it?,3,0,4000,1,0.667547508004645,0
563.094340576004,73,High,COMEDIAN,OCCUPATION,Does it float in water?,7,1,4000,1,1.24054197599617,1
576.082995819997,50,Low,ALCOHOL,FOOD,Is it alive?,0,0,4000,1,0.870366274000844,0
589.089179848001,45,High,KETCHUP,FOOD,Can you hold it?,4,1,4000,1,1.13257065099606,1
602.089398078002,22,Low,COIN,ARTIFACTS,Can you hold it?,4,1,4000,1,0.718828361001215,1
615.091184391,46,Low,SAUCE,FOOD,Can you find it in the wild?,2,0,4000,1,0.839588042996184,0
