PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI
65,High,EARTHQUAKE,NATURE INANIMATE,Can you find it in the wild?,2,1,4000
46,Low,SAUCE,FOOD,Does it make sounds?,6,0,4000
49,High,PHONE,ARTIFACTS,Does it make sounds?,6,1,4000
50,Low,ALCOHOL,FOOD,Did humans create it?,5,1,4000
25,High,AXE,ARTIFACTS,Can you eat or drink it?,1,0,4000
58,Low,ORGAN,HUMAN PART,Can you wear it?,3,0,4000
37,High,BROCCOLI,FOOD,Does it make sounds?,6,0,4000
26,Low,CONTAINER,ARTIFACTS,Does it float in water?,7,1,4000
69,High,GOLD,NATURE INANIMATE,Can you wear it?,3,1,4000
85,High,DOLLAR,OTHER,Does it make sounds?,6,0,4000
62,Low,MUSCLE,HUMAN PART,Does it float in water?,7,0,4000
9,High,SPARROW,ANIMAL,Is it alive?,0,1,4000
82,Low,MONSTER,OTHER,Did humans create it?,5,1,4000
30,Low,HAT,CLOTHES+ACCESS,Can you hold it?,4,1,4000
57,High,TEA,FOOD,Is it alive?,0,0,4000
45,High,KETCHUP,FOOD,Can you eat or drink it?,1,1,4000
74,Low,ARTIST,OCCUPATION,Can you wear it?,3,0,4000
41,High,COKE,FOOD,Did humans create it?,5,1,4000
33,High,UNCLE,FAMILY,Can you find it in the wild?,2,0,4000
81,High,MURDER,OTHER,Can you hold it?,4,0,4000
86,Low,IDEOLOGY,OTHER,Did humans create it?,5,1,4000
2,Low,INSECT,ANIMAL,Can you find it in the wild?,2,1,4000
29,High,PURSE,CLOTHES+ACCESS,Can you hold it?,4,1,4000
53,High,EARTH,NATURE INANIMATE,Can you hold it?,4,0,4000
42,Low,HERB,FOOD,Can you eat or drink it?,1,1,4000
93,High,CHECKERS,SPORT+LEISURE,Can you wear it?,3,0,4000
5,High,MOUSE,ANIMAL,Can you find it in the wild?,2,1,4000
90,Low,BOAT,SPORT+LEISURE,Can you find it in the wild?,2,0,4000
78,Low,EMOTION,OTHER,Is it alive?,0,0,4000
34,Low,GRANDPARENT,FAMILY,Can you hold it?,4,0,4000
61,High,PINKIE,HUMAN PART,Does it float in water?,7,1,4000
70,Low,DOCTOR,OCCUPATION,Does it make sounds?,6,1,4000
1,High,BULLDOG,ANIMAL,Does it float in water?,7,0,4000
17,High,ASPIRIN,ARTIFACTS,Can you eat or drink it?,1,1,4000
66,Low,MINERAL,NATURE INANIMATE,Does it float in water?,7,0,4000
18,Low,CANDY,FOOD,Is it alive?,0,0,4000
54,Low,WINE,FOOD,Can you eat or drink it?,1,1,4000
13,High,FROG,ANIMAL,Can you wear it?,3,0,4000
89,High,SPRING,OTHER,Did humans create it?,5,0,4000
21,High,RING,ARTIFACTS,Does it float in water?,7,0,4000
22,Low,COIN,ARTIFACTS,Can you hold it?,4,1,4000
6,Low,FISH,ANIMAL,Can you eat or drink it?,1,1,4000
38,Low,PASTA,FOOD,Does it make sounds?,6,0,4000
73,High,COMEDIAN,OCCUPATION,Is it alive?,0,1,4000
10,Low,LIZARD,ANIMAL,Can you wear it?,3,0,4000
77,High,BALLERINA,OCCUPATION,Did humans create it?,5,1,4000
14,Low,SPIDER,ANIMAL,Is it alive?,0,1,4000
94,Low,DANCE,SPORT+LEISURE,Can you find it in the wild?,2,0,4000
