PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI
49,High,PHONE,ARTIFACTS,Does it float in water?,7,0,4000
6,Low,FISH,ANIMAL,Is it alive?,0,1,4000
66,Low,MINERAL,NATURE INANIMATE,Did humans create it?,5,0,4000
2,Low,INSECT,ANIMAL,Can you wear it?,3,0,4000
37,High,BROCCOLI,FOOD,Can you eat or drink it?,1,1,4000
42,Low,HERB,FOOD,Can you find it in the wild?,2,1,4000
85,High,DOLLAR,OTHER,Does it make sounds?,6,0,4000
38,Low,PASTA,FOOD,Can you eat or drink it?,1,1,4000
74,Low,ARTIST,OCCUPATION,Is it alive?,0,1,4000
25,High,AXE,ARTIFACTS,Does it make sounds?,6,0,4000
93,High,CHECKERS,SPORT+LEISURE,Can you eat or drink it?,1,0,4000
2,Low,INSECT,ANIMAL,Is it alive?,0,1,4000
70,Low,DOCTOR,OCCUPATION,Did humans create it?,5,1,4000
5,High,MOUSE,ANIMAL,Is it alive?,0,1,4000
29,High,PURSE,CLOTHES+ACCESS,Can you wear it?,3,1,4000
22,Low,COIN,ARTIFACTS,Does it float in water?,7,0,4000
2,Low,INSECT,ANIMAL,Did humans create it?,5,0,4000
29,High,PURSE,CLOTHES+ACCESS,Does it float in water?,7,1,4000
5,High,MOUSE,ANIMAL,Can you find it in the wild?,2,1,4000
2,Low,INSECT,ANIMAL,Can you eat or drink it?,1,0,4000
37,High,BROCCOLI,FOOD,Can you wear it?,3,0,4000
57,High,TEA,FOOD,Is it alive?,0,0,4000
34,Low,GRANDPARENT,FAMILY,Does it make sounds?,6,1,4000
65,High,EARTHQUAKE,NATURE INANIMATE,Can you find it in the wild?,2,1,4000
94,Low,DANCE,SPORT+LEISURE,Can you eat or drink it?,1,0,4000
70,Low,DOCTOR,OCCUPATION,Can you wear it?,3,0,4000
5,High,MOUSE,ANIMAL,Can you wear it?,3,0,4000
30,Low,HAT,CLOTHES+ACCESS,Can you hold it?,4,1,4000
26,Low,CONTAINER,ARTIFACTS,Can you find it in the wild?,2,0,4000
22,Low,COIN,ARTIFACTS,Can you hold it?,4,1,4000
81,High,MURDER,OTHER,Can you eat or drink it?,1,0,4000
25,High,AXE,ARTIFACTS,Can you hold it?,4,1,4000
17,High,ASPIRIN,ARTIFACTS,Did humans create it?,5,1,4000
70,Low,DOCTOR,OCCUPATION,Does it make sounds?,6,1,4000
89,High,SPRING,OTHER,Can you hold it?,4,0,4000
62,Low,MUSCLE,HUMAN PART,Can you wear it?,3,0,4000
25,High,AXE,ARTIFACTS,Does it float in water?,7,0,4000
2,Low,INSECT,ANIMAL,Can you find it in the wild?,2,1,4000
77,High,BALLERINA,OCCUPATION,Did humans create it?,5,1,4000
9,High,SPARROW,ANIMAL,Does it make sounds?,6,1,4000
6,Low,FISH,ANIMAL,Does it float in water?,7,0,4000
17,High,ASPIRIN,ARTIFACTS,Can you hold it?,4,1,4000
9,High,SPARROW,ANIMAL,Can you find it in the wild?,2,1,4000
18,Low,CANDY,FOOD,Can you hold it?,4,1,4000
38,Low,PASTA,FOOD,Does it make sounds?,6,0,4000
66,Low,MINERAL,NATURE INANIMATE,Does it float in water?,7,0,4000
65,High,EARTHQUAKE,NATURE INANIMATE,Is it alive?,0,0,4000
33,High,UNCLE,FAMILY,Did humans create it?,5,0,4000
