,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,WVCNZ,SHOE,COMP_1W,mismatch,2,BrownBow_2.jpg,200
1,QXSW,LAMP,COMP_1W,mismatch,2,GreenDisc_1.jpg,500
2,BLUE,LOCK,COMP_2W,match,0,BlueLock_3.jpg,300
3,BLUE,NOTE,COMP_2W,mismatch,1,BlueKey_2.jpg,500
4,MTPV,NOTE,COMP_1W,mismatch,1,BlackHand_3.jpg,600
5,ZBXLV,LOCK,COMP_1W,mismatch,3,GreenDisc_1.jpg,600
6,BLACK,HOUSE,COMP_2W,match,0,BlackHouse_1.jpg,200
7,BLACK,HEART,COMP_2W,mismatch,2,BrownHeart_3.jpg,400
8,XKQ,KEY,COMP_1W,mismatch,2,PinkFlag_2.jpg,300
9,XKQ,BAG,COMP_1W,match,0,RedBag_1.jpg,300
10,GREEN,STAR,COMP_2W,mismatch,1,GreenHeart_1.jpg,600
11,PINK,BOW,COMP_2W,mismatch,1,PinkKey_1.jpg,200
12,GREEN,BOAT,COMP_2W,match,0,GreenBoat_3.jpg,400
13,MTPV,BOW,COMP_1W,mismatch,1,RedFlag_2.jpg,400
14,BLUE,CAR,COMP_2W,mismatch,3,BlackKey_1.jpg,500
15,RED,FORK,COMP_2W,mismatch,3,BrownHand_3.jpg,200
16,XKQ,FLAG,COMP_1W,match,0,BrownFlag_3.jpg,200
17,XKQ,CANE,COMP_1W,mismatch,2,BrownCross_1.jpg,600
18,MTPV,HOUSE,COMP_1W,match,0,BlueHouse_2.jpg,400
19,BLACK,STAR,COMP_2W,match,0,BlackStar_2.jpg,500
20,PINK,CUP,COMP_2W,match,0,PinkCup_3.jpg,400
21,BLUE,LEAF,COMP_2W,mismatch,1,BlueBow_2.jpg,300
22,MTPV,LOCK,COMP_1W,match,0,PinkLock_3.jpg,300
23,WVCNZ,BONE,COMP_1W,mismatch,1,PinkStar_1.jpg,200
24,MTPV,CAR,COMP_1W,mismatch,3,BrownSquare_3.jpg,600
25,GREEN,CUP,COMP_2W,mismatch,2,GreenCup_3.jpg,600
26,MTPV,SHOE,COMP_1W,mismatch,1,PinkCross_3.jpg,300
27,XKQ,DISC,COMP_1W,match,0,BlackDisc_1.jpg,500
28,BROWN,NOTE,COMP_2W,match,0,BrownNote_3.jpg,300
29,BLUE,CROSS,COMP_2W,match,0,BlueCross_3.jpg,300
30,ZBXLV,BOAT,COMP_1W,match,0,BlackBoat_3.jpg,300
31,RJDNW,FORK,COMP_1W,mismatch,1,BlackSquare_1.jpg,300
32,BROWN,TREE,COMP_2W,match,0,BrownTree_1.jpg,600
33,BLUE,PLANE,COMP_2W,match,0,BluePlane_2.jpg,200
34,MTPV,CANE,COMP_1W,match,0,GreenCane_2.jpg,200
35,BLACK,LEAF,COMP_2W,mismatch,3,GreenLamp_3.jpg,300
36,ZBXLV,HEART,COMP_1W,mismatch,2,BlackKey_1.jpg,200
37,ZBXLV,CUP,COMP_1W,mismatch,2,RedHeart_2.jpg,500
38,GREEN,FORK,COMP_2W,match,0,GreenFork_2.jpg,400
39,PINK,FORK,COMP_2W,match,0,PinkFork_2.jpg,600
40,QXSW,BOW,COMP_1W,match,0,BrownBow_2.jpg,600
41,ZBXLV,HAND,COMP_1W,mismatch,3,BrownCane_3.jpg,400
42,BROWN,CROSS,COMP_2W,mismatch,2,RedCross_2.jpg,400
