,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,CUP,BOAT,LIST_2W,mismatch,3,RedStar_1.jpg,500
1,BOAT,PLANE,LIST_2W,match,0,GreenPlane_3.jpg,600
2,QXSW,BONE,LIST_1W,mismatch,3,GreenLock_1.jpg,200
3,BOAT,BELL,LIST_2W,match,0,BlackBell_3.jpg,500
4,WVCNZ,HOUSE,LIST_1W,match,0,BrownHouse_2.jpg,600
5,ZBXLV,BELL,LIST_1W,mismatch,3,RedLock_1.jpg,500
6,PLANE,LOCK,LIST_2W,mismatch,3,PinkCar_2.jpg,300
7,MTPV,DISC,LIST_1W,mismatch,3,BlackBoat_1.jpg,200
8,ZBXLV,KEY,LIST_1W,match,0,GreenKey_1.jpg,500
9,QXSW,DISC,LIST_1W,match,0,GreenDisc_3.jpg,600
10,PLANE,HEART,LIST_2W,match,0,RedPlane_2.jpg,200
11,CROSS,HAND,LIST_2W,mismatch,2,PinkHouse_2.jpg,300
12,WVCNZ,HEART,LIST_1W,mismatch,3,BlackStar_3.jpg,600
13,HOUSE,FLAG,LIST_2W,match,0,RedFlag_1.jpg,400
14,XKQ,HOUSE,LIST_1W,mismatch,3,BlueHand_3.jpg,600
15,RJDNW,SHOE,LIST_1W,match,0,GreenShoe_1.jpg,600
16,PLANE,BOAT,LIST_2W,match,0,BluePlane_1.jpg,300
17,RJDNW,LOCK,LIST_1W,match,0,PinkLock_3.jpg,200
18,RJDNW,HAND,LIST_1W,match,0,PinkHand_2.jpg,200
19,PLANE,STAR,LIST_2W,mismatch,2,PinkBone_1.jpg,400
20,QXSW,FLAG,LIST_1W,match,0,BlueFlag_2.jpg,500
21,MTPV,BOW,LIST_1W,mismatch,2,BrownSquare_2.jpg,400
22,WVCNZ,FORK,LIST_1W,mismatch,1,BrownPlane_2.jpg,300
23,HOUSE,KEY,LIST_2W,mismatch,1,BlackDisc_1.jpg,600
24,CROSS,BONE,LIST_2W,match,0,BlackBone_1.jpg,400
25,CROSS,SHOE,LIST_2W,mismatch,2,PinkHouse_2.jpg,600
26,RJDNW,BAG,LIST_1W,match,0,RedBag_1.jpg,300
27,LAMP,FLAG,LIST_2W,match,0,PinkLamp_2.jpg,500
28,HOUSE,CUP,LIST_2W,mismatch,2,PinkBoat_3.jpg,300
29,CROSS,HEART,LIST_2W,mismatch,3,GreenLeaf_1.jpg,200
30,MTPV,BELL,LIST_1W,match,0,RedBell_2.jpg,300
31,BOAT,KEY,LIST_2W,match,0,BlackKey_3.jpg,500
32,BOAT,CROSS,LIST_2W,match,0,BrownBoat_3.jpg,300
33,LAMP,BOW,LIST_2W,mismatch,2,GreenCup_1.jpg,400
34,RJDNW,STAR,LIST_1W,match,0,PinkStar_2.jpg,300
35,LAMP,NOTE,LIST_2W,match,0,BlackLamp_3.jpg,500
36,WVCNZ,LEAF,LIST_1W,mismatch,3,PinkSquare_1.jpg,200
37,RJDNW,BELL,LIST_1W,mismatch,2,BlueBoat_2.jpg,500
38,CUP,SQUARE,LIST_2W,match,0,BlackSquare_3.jpg,400
39,WVCNZ,SHOE,LIST_1W,mismatch,2,BluePlane_1.jpg,300
40,HOUSE,DISC,LIST_2W,mismatch,2,PinkStar_1.jpg,600
41,MTPV,CANE,LIST_1W,match,0,BlueCane_3.jpg,200
42,XKQ,CAR,LIST_1W,match,0,BlueCar_3.jpg,600
43,PLANE,BOW,LIST_2W,mismatch,1,GreenHeart_2.jpg,500
44,QXSW,FORK,LIST_1W,match,0,GreenFork_1.jpg,200
45,WVCNZ,KEY,LIST_1W,mismatch,1,BlueCross_2.jpg,200
46,MTPV,CAR,LIST_1W,mismatch,1,PinkHeart_2.jpg,200
47,HOUSE,LOCK,LIST_2W,match,0,BrownLock_3.jpg,200
48,HOUSE,CANE,LIST_2W,match,0,PinkHouse_2.jpg,600
49,MTPV,SHOE,LIST_1W,mismatch,2,RedLeaf_1.jpg,500
50,LAMP,BAG,LIST_2W,mismatch,1,BrownBow_3.jpg,500
51,ZBXLV,LAMP,LIST_1W,mismatch,3,BrownNote_3.jpg,300
52,HOUSE,BAG,LIST_2W,match,0,BlackHouse_2.jpg,300
53,PLANE,NOTE,LIST_2W,match,0,BlackNote_2.jpg,600
54,XKQ,LAMP,LIST_1W,match,0,BrownLamp_1.jpg,400
55,RJDNW,FLAG,LIST_1W,mismatch,1,GreenLock_2.jpg,400
56,CUP,CAR,LIST_2W,match,0,BlueCup_2.jpg,600
57,CROSS,CUP,LIST_2W,mismatch,3,BrownBag_1.jpg,400
58,BOAT,FORK,LIST_2W,match,0,PinkBoat_1.jpg,300
59,WVCNZ,CAR,LIST_1W,match,0,BrownCar_2.jpg,600
60,BOAT,SQUARE,LIST_2W,mismatch,1,RedCane_3.jpg,500
61,QXSW,BAG,LIST_1W,mismatch,2,BlueLamp_2.jpg,300
62,PLANE,SHOE,LIST_2W,match,0,GreenPlane_2.jpg,200
63,WVCNZ,PLANE,LIST_1W,mismatch,1,RedCross_3.jpg,600
64,QXSW,LAMP,LIST_1W,match,0,BlackLamp_2.jpg,200
65,CUP,SHOE,LIST_2W,match,0,RedShoe_3.jpg,600
66,RJDNW,KEY,LIST_1W,mismatch,3,BrownFlag_3.jpg,400
67,WVCNZ,STAR,LIST_1W,mismatch,1,RedBoat_3.jpg,400
68,HOUSE,HAND,LIST_2W,match,0,BlueHand_1.jpg,200
69,BOAT,HAND,LIST_2W,mismatch,2,PinkBow_1.jpg,300
70,XKQ,PLANE,LIST_1W,mismatch,3,BlueBow_1.jpg,600
71,LAMP,BONE,LIST_2W,mismatch,3,GreenBoat_2.jpg,600
72,RJDNW,TREE,LIST_1W,match,0,PinkTree_2.jpg,500
73,QXSW,BOW,LIST_1W,match,0,GreenBow_1.jpg,500
74,HOUSE,PLANE,LIST_2W,mismatch,1,PinkCar_3.jpg,400
75,BOAT,CAR,LIST_2W,mismatch,1,PinkDisc_2.jpg,600
76,MTPV,PLANE,LIST_1W,match,0,RedPlane_2.jpg,400
77,XKQ,TREE,LIST_1W,mismatch,1,RedBow_2.jpg,600
78,LAMP,CANE,LIST_2W,match,0,RedCane_1.jpg,400
79,QXSW,CROSS,LIST_1W,match,0,BrownCross_3.jpg,300
80,ZBXLV,STAR,LIST_1W,mismatch,2,RedCar_2.jpg,400
81,CUP,LEAF,LIST_2W,match,0,BrownLeaf_1.jpg,300
82,MTPV,CROSS,LIST_1W,mismatch,1,PinkHouse_3.jpg,300
83,WVCNZ,NOTE,LIST_1W,match,0,GreenNote_2.jpg,500
84,BOAT,LOCK,LIST_2W,mismatch,3,BrownBone_2.jpg,400
85,CROSS,FORK,LIST_2W,mismatch,1,GreenHouse_3.jpg,200
86,BOAT,DISC,LIST_2W,match,0,GreenDisc_2.jpg,400
87,QXSW,NOTE,LIST_1W,match,0,GreenNote_3.jpg,400
88,MTPV,BONE,LIST_1W,match,0,RedBone_2.jpg,400
89,PLANE,CANE,LIST_2W,mismatch,3,BlackKey_2.jpg,200
90,XKQ,CROSS,LIST_1W,match,0,BlueCross_1.jpg,300
91,BOAT,BOW,LIST_2W,match,0,RedBoat_3.jpg,200
92,HOUSE,BELL,LIST_2W,mismatch,2,GreenCar_2.jpg,200
93,QXSW,PLANE,LIST_1W,match,0,RedPlane_3.jpg,400
94,LAMP,SHOE,LIST_2W,mismatch,2,BlackCup_2.jpg,200
95,RJDNW,CANE,LIST_1W,mismatch,3,BrownSquare_1.jpg,500
96,CROSS,BELL,LIST_2W,mismatch,3,BlueNote_3.jpg,300
97,PLANE,CUP,LIST_2W,match,0,BlueCup_1.jpg,500
98,MTPV,SQUARE,LIST_1W,mismatch,1,PinkCup_1.jpg,500
99,LAMP,CROSS,LIST_2W,mismatch,1,PinkHand_1.jpg,500
