,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,WVCNZ,KEY,COMP_1W,match,0,GreenKey_2.jpg,200
1,PINK,HAND,COMP_2W,match,0,PinkHand_3.jpg,400
2,MTPV,BONE,COMP_1W,mismatch,3,GreenTree_2.jpg,500
3,GREEN,SHOE,COMP_2W,mismatch,2,BlueShoe_1.jpg,600
4,MTPV,CAR,COMP_1W,match,0,RedCar_3.jpg,600
5,GREEN,BELL,COMP_2W,match,0,GreenBell_1.jpg,300
6,BROWN,CROSS,COMP_2W,match,0,BrownCross_2.jpg,200
7,QXSW,HOUSE,COMP_1W,match,0,GreenHouse_2.jpg,200
8,ZBXLV,NOTE,COMP_1W,mismatch,1,RedHouse_1.jpg,200
9,ZBXLV,CUP,COMP_1W,mismatch,3,BlackFlag_2.jpg,400
10,BLUE,BOW,COMP_2W,match,0,BlueBow_2.jpg,300
11,MTPV,CROSS,COMP_1W,mismatch,2,BlackBoat_1.jpg,300
12,RJDNW,BAG,COMP_1W,mismatch,3,RedKey_3.jpg,500
13,RJDNW,CUP,COMP_1W,match,0,PinkCup_1.jpg,500
14,PINK,NOTE,COMP_2W,match,0,PinkNote_1.jpg,500
15,XKQ,LEAF,COMP_1W,mismatch,3,GreenDisc_3.jpg,600
16,RED,LEAF,COMP_2W,mismatch,3,GreenCar_3.jpg,300
17,ZBXLV,CANE,COMP_1W,match,0,BrownCane_1.jpg,500
18,ZBXLV,FLAG,COMP_1W,match,0,GreenFlag_1.jpg,500
19,BLACK,CAR,COMP_2W,mismatch,2,RedCar_1.jpg,500
20,MTPV,SHOE,COMP_1W,match,0,PinkShoe_2.jpg,400
21,BROWN,DISC,COMP_2W,match,0,BrownDisc_3.jpg,500
22,XKQ,LAMP,COMP_1W,match,0,PinkLamp_3.jpg,600
23,GREEN,LOCK,COMP_2W,match,0,GreenLock_3.jpg,500
24,GREEN,HEART,COMP_2W,mismatch,1,GreenBone_3.jpg,500
25,BROWN,LAMP,COMP_2W,mismatch,1,BrownCar_2.jpg,200
26,WVCNZ,HAND,COMP_1W,mismatch,2,BrownFlag_3.jpg,500
27,WVCNZ,BONE,COMP_1W,match,0,BlackBone_3.jpg,400
28,GREEN,HAND,COMP_2W,mismatch,1,GreenHouse_1.jpg,600
29,ZBXLV,HEART,COMP_1W,mismatch,1,BlackBoat_1.jpg,600
30,RED,PLANE,COMP_2W,match,0,RedPlane_2.jpg,400
31,MTPV,CANE,COMP_1W,mismatch,1,BlackStar_2.jpg,600
32,BROWN,LOCK,COMP_2W,mismatch,2,BlueLock_3.jpg,400
33,ZBXLV,BOW,COMP_1W,match,0,BrownBow_3.jpg,400
34,XKQ,PLANE,COMP_1W,match,0,BrownPlane_2.jpg,300
35,BLACK,SHOE,COMP_2W,match,0,BlackShoe_2.jpg,200
36,WVCNZ,BELL,COMP_1W,match,0,RedBell_2.jpg,600
37,PINK,HEART,COMP_2W,mismatch,2,RedHeart_3.jpg,500
38,ZBXLV,BOW,COMP_1W,match,0,BrownBow_3.jpg,300
39,RED,KEY,COMP_2W,mismatch,2,RedKey_1.jpg,200
40,RED,HEART,COMP_2W,match,0,RedHeart_1.jpg,500
41,ZBXLV,STAR,COMP_1W,match,0,PinkStar_2.jpg,300
42,RED,BAG,COMP_2W,mismatch,1,RedNote_1.jpg,600
43,BLACK,CROSS,COMP_2W,match,0,BlackCross_3.jpg,300
44,RJDNW,SQUARE,COMP_1W,mismatch,3,BrownBone_2.jpg,600
45,GREEN,BAG,COMP_2W,mismatch,3,BlueHand_3.jpg,200
46,RED,BONE,COMP_2W,mismatch,2,BlackBone_2.jpg,400
47,RJDNW,LOCK,COMP_1W,match,0,RedLock_1.jpg,300
48,PINK,LAMP,COMP_2W,mismatch,1,PinkKey_3.jpg,300
49,ZBXLV,BOAT,COMP_1W,mismatch,1,RedFork_3.jpg,200
50,WVCNZ,FORK,COMP_1W,match,0,RedFork_3.jpg,300
51,RED,BONE,COMP_2W,mismatch,2,BlackBone_2.jpg,400
52,PINK,CAR,COMP_2W,match,0,PinkCar_3.jpg,600
53,WVCNZ,FORK,COMP_1W,match,0,RedFork_3.jpg,200
54,BLACK,TREE,COMP_2W,match,0,BlackTree_3.jpg,300
55,ZBXLV,LOCK,COMP_1W,mismatch,2,RedSquare_2.jpg,600
56,WVCNZ,KEY,COMP_1W,match,0,GreenKey_2.jpg,500
57,MTPV,FORK,COMP_1W,mismatch,3,PinkCane_1.jpg,300
58,GREEN,BONE,COMP_2W,match,0,GreenBone_3.jpg,400
59,RJDNW,NOTE,COMP_1W,mismatch,3,BlueTree_3.jpg,300
60,GREEN,CANE,COMP_2W,match,0,GreenCane_3.jpg,600
61,BLACK,DISC,COMP_2W,mismatch,3,BlueCup_2.jpg,300
62,ZBXLV,BELL,COMP_1W,mismatch,3,GreenPlane_3.jpg,400
63,QXSW,BAG,COMP_1W,match,0,BlueBag_2.jpg,200
64,BROWN,HEART,COMP_2W,match,0,BrownHeart_2.jpg,500
65,RED,BOW,COMP_2W,mismatch,2,BrownBow_3.jpg,500
66,PINK,CUP,COMP_2W,match,0,PinkCup_1.jpg,200
67,XKQ,BAG,COMP_1W,mismatch,1,GreenHeart_2.jpg,200
68,RED,HOUSE,COMP_2W,mismatch,1,RedBoat_1.jpg,200
69,RJDNW,HOUSE,COMP_1W,match,0,RedHouse_3.jpg,500
70,BROWN,BOAT,COMP_2W,mismatch,1,BrownBell_1.jpg,400
71,BLACK,BELL,COMP_2W,match,0,BlackBell_1.jpg,400
72,BLUE,KEY,COMP_2W,match,0,BlueKey_2.jpg,600
73,XKQ,CROSS,COMP_1W,mismatch,2,BlueHeart_3.jpg,400
74,BROWN,DISC,COMP_2W,match,0,BrownDisc_3.jpg,300
75,ZBXLV,FLAG,COMP_1W,match,0,GreenFlag_1.jpg,400
76,ZBXLV,BELL,COMP_1W,mismatch,3,GreenPlane_3.jpg,300
77,MTPV,HOUSE,COMP_1W,mismatch,1,GreenBone_2.jpg,400
78,PINK,CANE,COMP_2W,mismatch,1,PinkFlag_1.jpg,300
79,QXSW,PLANE,COMP_1W,match,0,BluePlane_3.jpg,400
80,BLUE,BELL,COMP_2W,mismatch,2,BlueBell_3.jpg,300
