,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,BOAT,SQUARE,LIST_2W,mismatch,1,RedCane_3.jpg,600
1,BOAT,SQUARE,LIST_2W,mismatch,1,RedCane_3.jpg,400
2,CUP,HOUSE,LIST_2W,mismatch,3,PinkHeart_1.jpg,200
3,QXSW,BAG,LIST_1W,mismatch,2,BlueLamp_2.jpg,400
4,LAMP,HOUSE,LIST_2W,match,0,BlackLamp_3.jpg,300
5,XKQ,CROSS,LIST_1W,match,0,BlueCross_1.jpg,200
6,PLANE,LOCK,LIST_2W,mismatch,3,PinkCar_2.jpg,600
7,RJDNW,FLAG,LIST_1W,mismatch,1,GreenLock_2.jpg,300
8,BOAT,STAR,LIST_2W,match,0,BlackStar_1.jpg,500
9,RJDNW,NOTE,LIST_1W,mismatch,2,BluePlane_2.jpg,600
10,MTPV,HAND,LIST_1W,mismatch,2,BlueBow_3.jpg,200
11,HOUSE,PLANE,LIST_2W,mismatch,1,PinkCar_3.jpg,500
12,BOAT,PLANE,LIST_2W,match,0,GreenPlane_3.jpg,200
13,XKQ,HEART,LIST_1W,match,0,BlackHeart_2.jpg,400
14,XKQ,HAND,LIST_1W,match,0,BrownHand_1.jpg,200
15,PLANE,LOCK,LIST_2W,mismatch,3,PinkCar_2.jpg,600
16,RJDNW,SHOE,LIST_1W,match,0,GreenShoe_1.jpg,600
17,XKQ,CAR,LIST_1W,match,0,BlueCar_3.jpg,500
18,ZBXLV,TREE,LIST_1W,mismatch,3,PinkBag_3.jpg,500
19,LAMP,FORK,LIST_2W,match,0,PinkFork_2.jpg,600
20,ZBXLV,STAR,LIST_1W,mismatch,2,RedCar_2.jpg,600
21,BOAT,CAR,LIST_2W,mismatch,1,PinkDisc_2.jpg,600
22,WVCNZ,LOCK,LIST_1W,match,0,BlackLock_1.jpg,300
23,CROSS,CANE,LIST_2W,mismatch,1,GreenLamp_2.jpg,500
24,HOUSE,SQUARE,LIST_2W,match,0,BlueHouse_2.jpg,400
25,MTPV,STAR,LIST_1W,match,0,GreenStar_1.jpg,600
26,WVCNZ,FLAG,LIST_1W,match,0,PinkFlag_3.jpg,500
27,WVCNZ,FORK,LIST_1W,mismatch,1,BrownPlane_2.jpg,300
28,LAMP,SHOE,LIST_2W,mismatch,2,BlackCup_2.jpg,300
29,BOAT,BOW,LIST_2W,match,0,RedBoat_3.jpg,200
30,HOUSE,CANE,LIST_2W,match,0,PinkHouse_2.jpg,300
31,RJDNW,BONE,LIST_1W,mismatch,3,BlackPlane_2.jpg,200
32,LAMP,BOW,LIST_2W,mismatch,2,GreenCup_1.jpg,200
33,WVCNZ,HEART,LIST_1W,mismatch,3,BlackStar_3.jpg,500
34,QXSW,NOTE,LIST_1W,match,0,GreenNote_3.jpg,500
35,LAMP,BONE,LIST_2W,mismatch,3,GreenBoat_2.jpg,500
36,QXSW,DISC,LIST_1W,match,0,GreenDisc_3.jpg,300
37,CROSS,BOW,LIST_2W,match,0,PinkBow_1.jpg,300
38,LAMP,FORK,LIST_2W,match,0,PinkFork_2.jpg,500
39,XKQ,FLAG,LIST_1W,mismatch,2,BlueBell_3.jpg,200
40,QXSW,BAG,LIST_1W,mismatch,2,BlueLamp_2.jpg,500
41,QXSW,LEAF,LIST_1W,mismatch,1,PinkFork_3.jpg,500
42,CROSS,DISC,LIST_2W,match,0,BlackCross_3.jpg,400
43,CROSS,HAND,LIST_2W,mismatch,2,PinkHouse_2.jpg,600
44,QXSW,CUP,LIST_1W,match,0,GreenCup_3.jpg,400
45,CUP,SQUARE,LIST_2W,match,0,BlackSquare_3.jpg,500
46,WVCNZ,LEAF,LIST_1W,mismatch,3,PinkSquare_1.jpg,500
47,PLANE,KEY,LIST_2W,mismatch,3,BrownCar_3.jpg,300
48,ZBXLV,BELL,LIST_1W,mismatch,3,RedLock_1.jpg,400
49,QXSW,HOUSE,LIST_1W,mismatch,2,RedTree_3.jpg,200
50,CUP,LAMP,LIST_2W,match,0,GreenCup_1.jpg,600
51,MTPV,BELL,LIST_1W,match,0,RedBell_2.jpg,300
52,RJDNW,STAR,LIST_1W,match,0,PinkStar_2.jpg,400
53,QXSW,HEART,LIST_1W,mismatch,3,PinkCane_3.jpg,400
54,LAMP,CANE,LIST_2W,match,0,RedCane_1.jpg,500
55,PLANE,LAMP,LIST_2W,mismatch,3,RedHouse_2.jpg,300
56,ZBXLV,TREE,LIST_1W,mismatch,3,PinkBag_3.jpg,200
57,CROSS,CAR,LIST_2W,match,0,RedCar_1.jpg,600
58,XKQ,PLANE,LIST_1W,mismatch,3,BlueBow_1.jpg,300
59,RJDNW,CUP,LIST_1W,match,0,GreenCup_3.jpg,400
60,MTPV,BONE,LIST_1W,match,0,RedBone_2.jpg,600
61,CUP,LEAF,LIST_2W,match,0,BrownLeaf_1.jpg,400
62,ZBXLV,HAND,LIST_1W,mismatch,2,PinkShoe_2.jpg,600
63,PLANE,FLAG,LIST_2W,mismatch,1,BlueCar_2.jpg,300
64,QXSW,BOW,LIST_1W,match,0,GreenBow_1.jpg,600
65,HOUSE,KEY,LIST_2W,mismatch,1,BlackDisc_1.jpg,300
66,CROSS,LEAF,LIST_2W,match,0,RedCross_3.jpg,200
67,BOAT,LOCK,LIST_2W,mismatch,3,BrownBone_2.jpg,500
68,RJDNW,HAND,LIST_1W,match,0,PinkHand_2.jpg,500
69,WVCNZ,PLANE,LIST_1W,mismatch,1,RedCross_3.jpg,400
70,LAMP,HOUSE,LIST_2W,match,0,BlackLamp_3.jpg,500
71,CUP,TREE,LIST_2W,mismatch,1,GreenNote_1.jpg,200
72,HOUSE,LEAF,LIST_2W,mismatch,3,BlueCane_2.jpg,500
73,RJDNW,LOCK,LIST_1W,match,0,PinkLock_3.jpg,600
74,PLANE,BAG,LIST_2W,match,0,BlackBag_1.jpg,200
75,CUP,PLANE,LIST_2W,mismatch,3,BlackHeart_1.jpg,400
76,BOAT,LAMP,LIST_2W,match,0,GreenLamp_1.jpg,400
77,RJDNW,BOAT,LIST_1W,match,0,BrownBoat_3.jpg,500
78,ZBXLV,LAMP,LIST_1W,mismatch,3,BrownNote_3.jpg,400
79,HOUSE,BOAT,LIST_2W,match,0,BrownBoat_3.jpg,400
80,RJDNW,NOTE,LIST_1W,mismatch,2,BluePlane_2.jpg,300
81,CUP,BOAT,LIST_2W,mismatch,3,RedStar_1.jpg,200
82,PLANE,NOTE,LIST_2W,match,0,BlackNote_2.jpg,300
83,PLANE,TREE,LIST_2W,match,0,RedPlane_1.jpg,600
84,WVCNZ,BONE,LIST_1W,match,0,BlackBone_1.jpg,300
85,CROSS,FORK,LIST_2W,mismatch,1,GreenHouse_3.jpg,200
86,QXSW,FORK,LIST_1W,match,0,GreenFork_1.jpg,300
87,QXSW,CROSS,LIST_1W,match,0,BrownCross_3.jpg,200
88,XKQ,CROSS,LIST_1W,match,0,BlueCross_1.jpg,200
89,CROSS,CANE,LIST_2W,mismatch,1,GreenLamp_2.jpg,400
90,CUP,BOAT,LIST_2W,mismatch,3,RedStar_1.jpg,400
91,QXSW,CROSS,LIST_1W,match,0,BrownCross_3.jpg,200
92,PLANE,HEART,LIST_2W,match,0,RedPlane_2.jpg,200
93,WVCNZ,SHOE,LIST_1W,mismatch,2,BluePlane_1.jpg,600
94,ZBXLV,STAR,LIST_1W,mismatch,2,RedCar_2.jpg,600
95,ZBXLV,KEY,LIST_1W,match,0,GreenKey_1.jpg,400
96,CROSS,BONE,LIST_2W,match,0,BlackBone_1.jpg,600
97,MTPV,BAG,LIST_1W,mismatch,1,BlackNote_2.jpg,300
98,HOUSE,FORK,LIST_2W,mismatch,1,BlueKey_2.jpg,400
99,CROSS,STAR,LIST_2W,match,0,RedCross_1.jpg,300
