,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,QXSW,PINK,MTPV,LAMP,DISC,match,0,1,GreenDisc_3.jpg,PinkDisc_2.jpg,BrownDisc_2.jpg,BlueLamp_2.jpg
1,RJDNW,GREEN,WVCNZ,PLANE,DISC,match,0,2,BlueDisc_2.jpg,GreenDisc_3.jpg,RedDisc_3.jpg,BlueDisc_2.jpg
2,MTPV,BLUE,QXSW,BOAT,DISC,mismatch,2,0,BrownBag_1.jpg,BlackDisc_2.jpg,RedBoat_3.jpg,BlueSquare_2.jpg
3,XKQ,RED,XKQ,CUP,DISC,mismatch,2,0,GreenFlag_2.jpg,GreenDisc_1.jpg,BlackBow_3.jpg,BlackNote_2.jpg
4,ZBXLV,GREEN,RJDNW,HOUSE,PLANE,match,0,1,PinkPlane_2.jpg,GreenPlane_1.jpg,PinkPlane_3.jpg,PinkHouse_2.jpg
5,MTPV,PINK,MTPV,BOAT,PLANE,match,0,2,RedPlane_2.jpg,PinkPlane_2.jpg,RedPlane_2.jpg,PinkPlane_2.jpg
6,WVCNZ,BROWN,WVCNZ,CROSS,PLANE,mismatch,3,0,BlueShoe_2.jpg,BrownShoe_3.jpg,PinkHand_3.jpg,BrownKey_3.jpg
7,XKQ,RED,XKQ,CUP,PLANE,mismatch,3,0,PinkHouse_3.jpg,PinkHand_2.jpg,PinkDisc_3.jpg,GreenHand_1.jpg
8,ZBXLV,BLACK,WVCNZ,PLANE,BAG,match,0,1,RedBag_2.jpg,BlackBag_2.jpg,RedBag_3.jpg,BlackPlane_2.jpg
9,QXSW,PINK,MTPV,BOAT,BAG,match,0,2,BlueBag_1.jpg,PinkBag_1.jpg,BlackBag_3.jpg,BlueBag_1.jpg
10,RJDNW,GREEN,ZBXLV,CROSS,BAG,mismatch,1,0,BrownLeaf_1.jpg,GreenBell_2.jpg,BrownHand_3.jpg,BlueCar_2.jpg
11,MTPV,BLUE,QXSW,LAMP,BAG,mismatch,2,0,BrownBell_2.jpg,BlackBag_3.jpg,GreenLeaf_2.jpg,BlueFlag_1.jpg
12,ZBXLV,BLACK,RJDNW,PLANE,LOCK,match,0,1,BlackLock_1.jpg,BlackLock_2.jpg,BlackLock_2.jpg,PinkPlane_3.jpg
13,XKQ,RED,XKQ,CUP,LOCK,match,0,2,GreenLock_1.jpg,RedLock_1.jpg,BlackLock_3.jpg,BlackLock_2.jpg
14,QXSW,PINK,MTPV,BOAT,LOCK,mismatch,1,0,BrownHeart_2.jpg,PinkTree_2.jpg,BlackKey_3.jpg,GreenKey_1.jpg
15,RJDNW,BROWN,ZBXLV,CROSS,LOCK,mismatch,3,0,GreenCane_3.jpg,BlueHouse_1.jpg,BrownLamp_1.jpg,BrownBag_1.jpg
16,WVCNZ,GREEN,RJDNW,PLANE,CANE,match,0,1,BrownCane_1.jpg,GreenCane_1.jpg,GreenCane_3.jpg,RedPlane_2.jpg
17,ZBXLV,BROWN,WVCNZ,CROSS,CANE,match,0,2,BrownCane_3.jpg,BrownCane_1.jpg,PinkCane_3.jpg,RedCane_1.jpg
18,XKQ,RED,XKQ,CUP,CANE,mismatch,3,0,BlackKey_1.jpg,BrownHeart_2.jpg,PinkHouse_3.jpg,BlueKey_2.jpg
19,RJDNW,BLACK,ZBXLV,HOUSE,CANE,mismatch,1,0,BlackCross_1.jpg,BlackBag_2.jpg,GreenHeart_3.jpg,RedTree_3.jpg
20,RJDNW,BROWN,WVCNZ,PLANE,HAND,match,0,1,BrownHand_2.jpg,BrownHand_2.jpg,PinkHand_2.jpg,GreenPlane_1.jpg
21,XKQ,RED,XKQ,CUP,HAND,match,0,2,BlackHand_1.jpg,RedHand_3.jpg,GreenHand_3.jpg,BlueHand_2.jpg
22,WVCNZ,BLACK,RJDNW,CROSS,HAND,mismatch,1,0,PinkFork_1.jpg,BlackKey_1.jpg,BrownBow_2.jpg,BlueKey_1.jpg
23,MTPV,PINK,QXSW,BOAT,HAND,mismatch,1,0,RedTree_1.jpg,PinkBell_3.jpg,BlueLock_2.jpg,BrownBell_3.jpg
24,RJDNW,GREEN,ZBXLV,HOUSE,KEY,match,0,1,BlueKey_3.jpg,GreenKey_2.jpg,BlueKey_3.jpg,GreenHouse_3.jpg
25,WVCNZ,BLACK,WVCNZ,PLANE,KEY,match,0,2,BlueKey_2.jpg,BlackKey_3.jpg,BlackKey_2.jpg,PinkKey_1.jpg
26,QXSW,PINK,QXSW,BOAT,KEY,mismatch,1,0,RedBell_3.jpg,PinkFlag_2.jpg,BlueDisc_3.jpg,GreenHand_3.jpg
27,MTPV,BLUE,MTPV,LAMP,KEY,mismatch,3,0,BlueBoat_2.jpg,GreenBell_3.jpg,BlackLamp_1.jpg,PinkCane_1.jpg
28,WVCNZ,BROWN,WVCNZ,HOUSE,SHOE,match,0,1,BrownShoe_1.jpg,BrownShoe_3.jpg,BlueShoe_2.jpg,GreenHouse_3.jpg
29,QXSW,BLUE,MTPV,BOAT,SHOE,match,0,2,PinkShoe_1.jpg,BlueShoe_1.jpg,BlackShoe_3.jpg,BrownShoe_3.jpg
30,ZBXLV,GREEN,ZBXLV,PLANE,SHOE,mismatch,2,0,BlackTree_1.jpg,GreenShoe_2.jpg,PinkBell_2.jpg,RedBell_3.jpg
31,XKQ,RED,XKQ,CUP,SHOE,mismatch,2,0,BrownNote_3.jpg,BlackShoe_3.jpg,BlackPlane_3.jpg,BlackBag_1.jpg
32,XKQ,RED,XKQ,CUP,BONE,match,0,1,BrownBone_2.jpg,RedBone_1.jpg,BrownBone_2.jpg,BlueCup_3.jpg
33,RJDNW,GREEN,WVCNZ,CROSS,BONE,match,0,2,BlueBone_3.jpg,GreenBone_1.jpg,BrownBone_2.jpg,BlackBone_2.jpg
34,ZBXLV,BROWN,RJDNW,PLANE,BONE,mismatch,2,0,BlueBoat_1.jpg,BlackBone_2.jpg,BlueKey_2.jpg,GreenFlag_2.jpg
35,QXSW,BLUE,QXSW,BOAT,BONE,mismatch,2,0,PinkHouse_1.jpg,PinkBone_1.jpg,PinkShoe_2.jpg,PinkShoe_3.jpg
36,WVCNZ,BROWN,RJDNW,PLANE,SQUARE,match,0,1,BlackSquare_2.jpg,BrownSquare_3.jpg,RedSquare_1.jpg,GreenPlane_3.jpg
37,XKQ,RED,XKQ,CUP,SQUARE,match,0,2,PinkSquare_3.jpg,RedSquare_3.jpg,PinkSquare_3.jpg,BrownSquare_3.jpg
38,MTPV,PINK,QXSW,BOAT,SQUARE,mismatch,3,0,BlackHand_3.jpg,PinkFlag_3.jpg,BlackCup_2.jpg,RedTree_3.jpg
39,RJDNW,GREEN,ZBXLV,HOUSE,SQUARE,mismatch,1,0,RedFlag_3.jpg,GreenLamp_3.jpg,GreenBone_2.jpg,BlueHeart_1.jpg
40,ZBXLV,BROWN,RJDNW,PLANE,BELL,match,0,1,GreenBell_3.jpg,BrownBell_2.jpg,PinkBell_2.jpg,BluePlane_2.jpg
41,QXSW,PINK,QXSW,BOAT,BELL,match,0,2,GreenBell_2.jpg,PinkBell_2.jpg,BlueBell_2.jpg,RedBell_2.jpg
42,XKQ,RED,XKQ,CUP,BELL,mismatch,3,0,RedNote_1.jpg,PinkDisc_3.jpg,BlueLamp_3.jpg,BrownTree_1.jpg
43,WVCNZ,GREEN,WVCNZ,CROSS,BELL,mismatch,3,0,RedLamp_3.jpg,BlueTree_3.jpg,BlackFlag_2.jpg,GreenLock_1.jpg
44,XKQ,RED,XKQ,CUP,BOAT,match,0,1,RedBoat_3.jpg,RedBoat_3.jpg,RedBoat_3.jpg,BlackCup_3.jpg
45,WVCNZ,BLACK,ZBXLV,HOUSE,BOAT,match,0,2,RedBoat_2.jpg,BlackBoat_1.jpg,BlackBoat_2.jpg,GreenBoat_1.jpg
46,ZBXLV,GREEN,WVCNZ,PLANE,BOAT,mismatch,1,0,BlackLamp_1.jpg,GreenStar_1.jpg,BrownLamp_3.jpg,BlackHouse_3.jpg
47,QXSW,BLUE,QXSW,LAMP,BOAT,mismatch,3,0,PinkCross_1.jpg,BrownHand_1.jpg,GreenTree_2.jpg,BrownBag_3.jpg
48,RJDNW,GREEN,ZBXLV,HOUSE,BOW,match,0,1,BlueBow_3.jpg,GreenBow_1.jpg,GreenBow_1.jpg,BlackHouse_2.jpg
49,ZBXLV,BLACK,WVCNZ,PLANE,BOW,match,0,2,BlueBow_3.jpg,BlackBow_1.jpg,BlackBow_3.jpg,BlueBow_3.jpg
50,XKQ,RED,XKQ,CUP,BOW,mismatch,3,0,BlackKey_3.jpg,GreenCane_3.jpg,BrownKey_2.jpg,BrownStar_2.jpg
51,QXSW,BLUE,QXSW,BOAT,BOW,mismatch,3,0,GreenCup_2.jpg,RedSquare_3.jpg,BlueCross_3.jpg,BrownCross_2.jpg
52,QXSW,BLUE,MTPV,BOAT,CAR,match,0,1,BlueCar_1.jpg,BlueCar_2.jpg,RedCar_3.jpg,BrownBoat_1.jpg
53,XKQ,RED,XKQ,CUP,CAR,match,0,2,BlueCar_1.jpg,RedCar_2.jpg,BrownCar_2.jpg,BlackCar_3.jpg
54,WVCNZ,BLACK,ZBXLV,CROSS,CAR,mismatch,3,0,BlueDisc_2.jpg,GreenLamp_2.jpg,BlueHeart_1.jpg,RedLamp_1.jpg
55,MTPV,PINK,QXSW,LAMP,CAR,mismatch,2,0,BlackShoe_1.jpg,PinkCar_1.jpg,GreenHouse_2.jpg,BlackFork_2.jpg
56,ZBXLV,GREEN,RJDNW,PLANE,CROSS,match,0,1,PinkCross_3.jpg,GreenCross_3.jpg,GreenCross_1.jpg,BrownPlane_1.jpg
57,XKQ,RED,XKQ,CUP,CROSS,match,0,2,BrownCross_1.jpg,RedCross_3.jpg,GreenCross_1.jpg,PinkCross_3.jpg
58,QXSW,BLUE,QXSW,LAMP,CROSS,mismatch,1,0,GreenSquare_1.jpg,BlueLamp_1.jpg,RedBone_1.jpg,GreenCup_2.jpg
59,WVCNZ,BROWN,WVCNZ,HOUSE,CROSS,mismatch,1,0,PinkHand_2.jpg,BrownDisc_2.jpg,BlueHand_1.jpg,BlueCup_3.jpg
60,ZBXLV,GREEN,WVCNZ,CROSS,CUP,match,0,1,GreenCup_1.jpg,GreenCup_3.jpg,PinkCup_3.jpg,BrownCross_2.jpg
61,WVCNZ,BLACK,RJDNW,PLANE,CUP,match,0,2,GreenCup_1.jpg,BlackCup_3.jpg,RedCup_2.jpg,GreenCup_1.jpg
62,RJDNW,BROWN,ZBXLV,HOUSE,CUP,mismatch,3,0,BrownLamp_3.jpg,BrownPlane_3.jpg,BlueLock_1.jpg,RedLeaf_3.jpg
63,MTPV,BLUE,QXSW,LAMP,CUP,mismatch,1,0,BlackStar_1.jpg,BlueHouse_3.jpg,GreenCane_2.jpg,BlueKey_1.jpg
64,WVCNZ,GREEN,ZBXLV,HOUSE,FLAG,match,0,1,BrownFlag_3.jpg,GreenFlag_3.jpg,BlackFlag_2.jpg,BlueHouse_2.jpg
65,RJDNW,BLACK,RJDNW,CROSS,FLAG,match,0,2,BlueFlag_2.jpg,BlackFlag_3.jpg,BlueFlag_1.jpg,BrownFlag_2.jpg
