TrialOnset,PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI,Accuracy,RT,Response
7.29981739801588,78,Low,EMOTION,OTHER,Did humans create it?,5,0,500,0,1.32570659101475,1
12.7998173980159,10,Low,LIZARD,ANIMAL,Can you find it in the wild?,2,1,600,1,2.19732268099324,1
18.3998173980217,21,High,RING,ARTIFACTS,Does it make sounds?,6,0,200,1,1.68694041098934,0
23.5998173980333,58,Low,ORGAN,HUMAN PART,Can you hold it?,4,1,700,1,1.6210619850026,1
29.299817398045,17,High,ASPIRIN,ARTIFACTS,Can you eat or drink it?,1,1,500,1,1.52153058399563,1
34.799817398045,2,Low,INSECT,ANIMAL,Does it float in water?,7,1,400,1,1.09220411998103,1
40.1998173980392,9,High,SPARROW,ANIMAL,Can you eat or drink it?,1,0,500,0,0,
45.6998173980392,14,Low,SPIDER,ANIMAL,Can you find it in the wild?,2,1,300,0,0,
50.9998173980275,29,High,PURSE,CLOTHES+ACCESS,Can you wear it?,3,1,400,0,0,
56.3998173980217,70,Low,DOCTOR,OCCUPATION,Can you wear it?,3,0,500,0,0,
61.8998173980217,49,High,PHONE,ARTIFACTS,Did humans create it?,5,1,200,0,0,
67.0998173980333,46,Low,SAUCE,FOOD,Can you eat or drink it?,1,1,400,0,0,
72.4998173980275,77,High,BALLERINA,OCCUPATION,Can you hold it?,4,0,300,0,0,
77.7998173980159,34,Low,GRANDPARENT,FAMILY,Can you hold it?,4,0,600,0,0,
83.3998173980217,54,Low,WINE,FOOD,Can you eat or drink it?,1,1,400,0,0,
88.7998173980159,41,High,COKE,FOOD,Can you wear it?,3,0,500,0,0,
94.2998173980159,13,High,FROG,ANIMAL,Is it alive?,0,1,200,0,0,
99.4998173980275,93,High,CHECKERS,SPORT+LEISURE,Did humans create it?,5,1,200,0,0,
104.699817398039,30,Low,HAT,CLOTHES+ACCESS,Can you hold it?,4,1,400,0,0,
110.099817398033,1,High,BULLDOG,ANIMAL,Does it make sounds?,6,1,500,0,0,
115.599817398033,22,Low,COIN,ARTIFACTS,Can you wear it?,3,0,300,0,0,
120.899817398022,50,Low,ALCOHOL,FOOD,Does it make sounds?,6,0,300,0,0,
126.19981739801,37,High,BROCCOLI,FOOD,Can you find it in the wild?,2,1,200,0,0,
131.399817398022,33,High,UNCLE,FAMILY,Can you hold it?,4,0,700,0,0,
137.099817398033,66,Low,MINERAL,NATURE INANIMATE,Is it alive?,0,0,500,0,0,
142.599817398033,62,Low,MUSCLE,HUMAN PART,Does it float in water?,7,0,400,0,0,
147.999817398028,81,High,MURDER,OTHER,Can you eat or drink it?,1,0,200,0,0,
153.199817398039,5,High,MOUSE,ANIMAL,Does it float in water?,7,1,600,0,0,
158.799817398045,42,Low,HERB,FOOD,Can you eat or drink it?,1,1,300,0,0,
164.099817398033,69,High,GOLD,NATURE INANIMATE,Did humans create it?,5,0,300,0,0,
169.399817398022,53,High,EARTH,NATURE INANIMATE,Can you hold it?,4,0,700,1,0.832408443005988,0
175.099817398033,61,High,PINKIE,HUMAN PART,Does it float in water?,7,1,200,0,0,
180.299817398045,6,Low,FISH,ANIMAL,Can you find it in the wild?,2,1,700,0,0,
185.999817398057,94,Low,DANCE,SPORT+LEISURE,Did humans create it?,5,1,700,0,0,
191.699817398068,38,Low,PASTA,FOOD,Is it alive?,0,0,600,0,0,
197.299817398074,25,High,AXE,ARTIFACTS,Does it float in water?,7,0,200,0,0,
202.499817398086,45,High,KETCHUP,FOOD,Does it make sounds?,6,0,600,0,0,
208.099817398092,26,Low,CONTAINER,ARTIFACTS,Does it make sounds?,6,0,400,0,0,
213.499817398086,82,Low,MONSTER,OTHER,Did humans create it?,5,1,600,0,0,
219.099817398092,89,High,SPRING,OTHER,Can you find it in the wild?,2,1,700,0,0,
224.799817398103,90,Low,BOAT,SPORT+LEISURE,Is it alive?,0,0,500,0,0,
230.299817398103,85,High,DOLLAR,OTHER,Is it alive?,0,0,600,1,0.918745391012635,0
235.899817398109,65,High,EARTHQUAKE,NATURE INANIMATE,Can you find it in the wild?,2,1,700,0,2.71365396899637,0
241.599817398121,57,High,TEA,FOOD,Can you wear it?,3,0,600,0,0,
247.199817398126,86,Low,IDEOLOGY,OTHER,Does it make sounds?,6,0,400,0,0,
252.599817398121,18,Low,CANDY,FOOD,Can you wear it?,3,0,300,0,0,
257.899817398109,74,Low,ARTIST,OCCUPATION,Does it float in water?,7,1,300,0,0,
263.199817398097,73,High,COMEDIAN,OCCUPATION,Is it alive?,0,1,700,0,0,
