PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI
82,Low,MONSTER,OTHER,Did humans create it?,5,1,300
65,High,EARTHQUAKE,NATURE INANIMATE,Can you hold it?,4,0,700
62,Low,MUSCLE,HUMAN PART,Is it alive?,0,0,400
90,Low,BOAT,SPORT+LEISURE,Does it make sounds?,6,0,400
54,Low,WINE,FOOD,Can you eat or drink it?,1,1,700
21,High,RING,ARTIFACTS,Can you wear it?,3,1,600
77,High,BALLERINA,OCCUPATION,Can you hold it?,4,0,400
9,High,SPARROW,ANIMAL,Did humans create it?,5,0,500
18,Low,CANDY,FOOD,Can you wear it?,3,0,200
5,High,MOUSE,ANIMAL,Can you find it in the wild?,2,1,600
10,Low,LIZARD,ANIMAL,Does it float in water?,7,1,300
70,Low,DOCTOR,OCCUPATION,Does it float in water?,7,1,200
6,Low,FISH,ANIMAL,Can you wear it?,3,0,700
89,High,SPRING,OTHER,Does it make sounds?,6,0,500
53,High,EARTH,NATURE INANIMATE,Can you hold it?,4,0,200
58,Low,ORGAN,HUMAN PART,Can you hold it?,4,1,700
78,Low,EMOTION,OTHER,Does it make sounds?,6,0,300
37,High,BROCCOLI,FOOD,Does it make sounds?,6,0,500
25,High,AXE,ARTIFACTS,Did humans create it?,5,1,500
26,Low,CONTAINER,ARTIFACTS,Can you wear it?,3,0,600
57,High,TEA,FOOD,Can you eat or drink it?,1,1,600
81,High,MURDER,OTHER,Is it alive?,0,0,700
34,Low,GRANDPARENT,FAMILY,Can you find it in the wild?,2,0,500
17,High,ASPIRIN,ARTIFACTS,Can you eat or drink it?,1,1,300
30,Low,HAT,CLOTHES+ACCESS,Can you hold it?,4,1,400
85,High,DOLLAR,OTHER,Did humans create it?,5,1,300
86,Low,IDEOLOGY,OTHER,Can you hold it?,4,0,200
45,High,KETCHUP,FOOD,Can you find it in the wild?,2,0,400
33,High,UNCLE,FAMILY,Is it alive?,0,1,400
14,Low,SPIDER,ANIMAL,Is it alive?,0,1,300
2,Low,INSECT,ANIMAL,Can you find it in the wild?,2,1,200
29,High,PURSE,CLOTHES+ACCESS,Can you wear it?,3,1,200
66,Low,MINERAL,NATURE INANIMATE,Is it alive?,0,0,600
61,High,PINKIE,HUMAN PART,Does it float in water?,7,1,500
42,Low,HERB,FOOD,Can you find it in the wild?,2,1,500
46,Low,SAUCE,FOOD,Does it make sounds?,6,0,600
22,Low,COIN,ARTIFACTS,Does it float in water?,7,0,300
13,High,FROG,ANIMAL,Does it float in water?,7,0,300
73,High,COMEDIAN,OCCUPATION,Is it alive?,0,1,600
94,Low,DANCE,SPORT+LEISURE,Did humans create it?,5,1,200
38,Low,PASTA,FOOD,Can you eat or drink it?,1,1,700
93,High,CHECKERS,SPORT+LEISURE,Does it make sounds?,6,0,400
1,High,BULLDOG,ANIMAL,Does it float in water?,7,0,600
50,Low,ALCOHOL,FOOD,Did humans create it?,5,1,700
69,High,GOLD,NATURE INANIMATE,Can you wear it?,3,1,500
49,High,PHONE,ARTIFACTS,Can you find it in the wild?,2,0,400
74,Low,ARTIST,OCCUPATION,Can you eat or drink it?,1,0,200
41,High,COKE,FOOD,Can you eat or drink it?,1,1,700
