,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,LIST_2W,BlackStar_1.jpg,mismatch,3,House,Square
2,LIST_2W,GreenCup_1.jpg,match,0,Cup,Bow
3,LIST_2W,BrownKey_2.jpg,mismatch,1,Boat,House
4,LIST_2W,GreenBone_2.jpg,match,0,Plane,Bone
5,LIST_2W,BrownFlag_1.jpg,mismatch,3,Boat,Car
6,COMP_1W,BlackHand_1.jpg,match,0,Mtpv,Hand
7,COMP_1W,BlueBow_1.jpg,mismatch,3,Xkq,Flag
8,COMP_1W,RedBow_3.jpg,mismatch,2,Zbxlv,Star
9,COMP_1W,RedTree_1.jpg,match,0,Wvcnz,Tree
10,COMP_1W,RedCar_3.jpg,mismatch,2,Xkq,Shoe
11,COMP_2W,PinkTree_3.jpg,mismatch,1,Pink,Cane
12,COMP_2W,BlueKey_1.jpg,match,0,Blue,Key
13,COMP_2W,GreenBow_1.jpg,match,0,Green,Bow
14,COMP_2W,PinkFlag_3.jpg,match,0,Pink,Flag
15,COMP_2W,BrownBoat_3.jpg,mismatch,2,Brown,Boat
16,LIST_1W,BlueBell_1.jpg,mismatch,3,Zbxlv,Heart
17,LIST_1W,BlueHeart_3.jpg,match,0,Mtpv,Heart
18,LIST_1W,RedBow_2.jpg,mismatch,1,Qxsw,Bag
19,LIST_1W,BrownLock_3.jpg,match,0,Xkq,Lock
20,LIST_1W,RedBow_2.jpg,mismatch,3,Xkq,Boat
21,FIX,NA,NA,NA,NA,NA
22,COMP_1W,BlueCar_2.jpg,mismatch,3,Xkq,Plane
23,COMP_1W,BrownStar_2.jpg,mismatch,1,Xkq,Hand
24,COMP_1W,BlueFork_3.jpg,match,0,Mtpv,Fork
25,COMP_1W,RedLamp_3.jpg,mismatch,2,Rjdnw,Note
26,COMP_1W,GreenCross_3.jpg,match,0,Mtpv,Cross
27,LIST_1W,GreenCar_2.jpg,mismatch,3,Qxsw,Leaf
28,LIST_1W,BlueCane_1.jpg,match,0,Wvcnz,Cane
29,LIST_1W,PinkBone_3.jpg,match,0,Mtpv,Bone
30,LIST_1W,BlueStar_1.jpg,mismatch,2,Mtpv,Hand
31,LIST_1W,BlueShoe_1.jpg,match,0,Qxsw,Shoe
32,LIST_2W,GreenBone_3.jpg,mismatch,2,Cup,Key
33,LIST_2W,BlueBow_3.jpg,match,0,Cross,Bow
34,LIST_2W,BrownCup_1.jpg,match,0,Cup,Lock
35,LIST_2W,RedBow_2.jpg,mismatch,2,Cross,Flag
36,LIST_2W,BlackHeart_3.jpg,mismatch,3,Boat,Leaf
37,COMP_2W,BlueKey_1.jpg,match,0,Blue,Key
38,COMP_2W,BlackHand_1.jpg,mismatch,2,Pink,Hand
39,COMP_2W,BlackHand_3.jpg,mismatch,3,Black,Plane
40,COMP_2W,BlueShoe_3.jpg,match,0,Blue,Shoe
