,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_2W,GreenLeaf_3.jpg,mismatch,1,GREEN,CANE
2,COMP_2W,BlackNote_1.jpg,mismatch,2,PINK,NOTE
3,COMP_2W,GreenDisc_2.jpg,match,0,GREEN,DISC
4,COMP_2W,BlueBell_1.jpg,match,0,BLUE,BELL
5,COMP_2W,BlackBell_3.jpg,mismatch,3,BLUE,TREE
6,LIST_1W,RedStar_3.jpg,mismatch,1,ZBXLV,BONE
7,LIST_1W,PinkFork_2.jpg,match,0,QXSW,FORK
8,LIST_1W,RedBow_2.jpg,mismatch,3,QXSW,SQUARE
9,LIST_1W,BrownLock_3.jpg,match,0,MTPV,LOCK
10,LIST_1W,BrownBag_2.jpg,mismatch,2,XKQ,SHOE
11,LIST_2W,PinkCup_1.jpg,mismatch,3,LAMP,BELL
12,LIST_2W,BlackCross_3.jpg,match,0,CROSS,SHOE
13,LIST_2W,BrownPlane_2.jpg,match,0,CUP,PLANE
14,LIST_2W,BrownLock_2.jpg,mismatch,2,PLANE,FORK
15,LIST_2W,BlueHouse_3.jpg,match,0,HOUSE,BONE
16,COMP_1W,BlackBag_1.jpg,match,0,WVCNZ,BAG
17,COMP_1W,BrownCar_2.jpg,mismatch,3,MTPV,TREE
18,COMP_1W,PinkPlane_1.jpg,match,0,WVCNZ,PLANE
19,COMP_1W,BlueHeart_2.jpg,match,0,WVCNZ,HEART
20,COMP_1W,RedPlane_1.jpg,mismatch,1,RJDNW,BOAT
21,FIX,NA,NA,NA,NA,NA
22,LIST_1W,BlackBag_3.jpg,match,0,RJDNW,BAG
23,LIST_1W,RedFork_1.jpg,mismatch,1,WVCNZ,CUP
24,LIST_1W,BrownBell_1.jpg,match,0,MTPV,BELL
25,LIST_1W,RedHand_1.jpg,match,0,XKQ,HAND
26,LIST_1W,RedHeart_1.jpg,mismatch,2,QXSW,LEAF
27,COMP_1W,RedBell_1.jpg,match,0,QXSW,BELL
28,COMP_1W,BrownFork_2.jpg,mismatch,3,XKQ,FLAG
29,COMP_1W,PinkCar_2.jpg,mismatch,3,MTPV,SQUARE
30,COMP_1W,PinkHand_1.jpg,match,0,XKQ,HAND
31,COMP_1W,PinkLock_1.jpg,mismatch,3,RJDNW,TREE
32,COMP_2W,BlueCane_3.jpg,mismatch,3,BROWN,BELL
33,COMP_2W,RedCar_2.jpg,mismatch,2,GREEN,CAR
34,COMP_2W,GreenBone_3.jpg,match,0,GREEN,BONE
35,COMP_2W,PinkKey_2.jpg,match,0,PINK,KEY
36,COMP_2W,RedFork_3.jpg,mismatch,2,GREEN,FORK
37,LIST_2W,GreenCross_2.jpg,match,0,CROSS,BOAT
38,LIST_2W,BrownKey_1.jpg,mismatch,1,CROSS,STAR
39,LIST_2W,BlackCross_1.jpg,mismatch,1,LAMP,PLANE
40,LIST_2W,PinkFlag_3.jpg,match,0,BOAT,FLAG
41,LIST_2W,BlackBell_1.jpg,mismatch,3,PLANE,LOCK
42,FIX,NA,NA,NA,NA,NA
43,LIST_2W,BlackHeart_3.jpg,match,0,PLANE,HEART
44,LIST_2W,PinkLeaf_2.jpg,mismatch,3,PLANE,BOAT
45,LIST_2W,BrownKey_2.jpg,match,0,BOAT,KEY
46,LIST_2W,PinkSquare_1.jpg,mismatch,3,CROSS,BAG
47,LIST_2W,GreenPlane_3.jpg,match,0,PLANE,BAG
48,COMP_2W,PinkHeart_1.jpg,mismatch,3,GREEN,SQUARE
49,COMP_2W,GreenShoe_2.jpg,mismatch,2,BROWN,SHOE
50,COMP_2W,GreenBag_2.jpg,match,0,GREEN,BAG
51,COMP_2W,BlackShoe_3.jpg,match,0,BLACK,SHOE
52,COMP_2W,BlueFork_1.jpg,match,0,BLUE,FORK
53,COMP_1W,RedBell_1.jpg,match,0,QXSW,BELL
54,COMP_1W,PinkCar_3.jpg,mismatch,3,WVCNZ,STAR
55,COMP_1W,BlueCup_2.jpg,mismatch,2,RJDNW,HAND
56,COMP_1W,PinkBow_1.jpg,mismatch,3,XKQ,LOCK
57,COMP_1W,GreenHand_2.jpg,match,0,ZBXLV,HAND
58,LIST_1W,BluePlane_3.jpg,match,0,WVCNZ,PLANE
59,LIST_1W,PinkTree_1.jpg,mismatch,3,RJDNW,STAR
60,LIST_1W,BrownCross_2.jpg,match,0,QXSW,CROSS
61,LIST_1W,BrownBow_1.jpg,mismatch,3,ZBXLV,BOAT
62,LIST_1W,RedCar_2.jpg,mismatch,3,XKQ,CROSS
63,FIX,NA,NA,NA,NA,NA
64,COMP_1W,GreenSquare_2.jpg,mismatch,2,ZBXLV,FORK
65,COMP_1W,BrownPlane_3.jpg,mismatch,1,ZBXLV,CUP
66,COMP_1W,GreenCross_1.jpg,match,0,MTPV,CROSS
67,COMP_1W,PinkKey_2.jpg,match,0,QXSW,KEY
68,COMP_1W,BrownKey_3.jpg,mismatch,1,MTPV,PLANE
69,LIST_2W,BlackCross_3.jpg,match,0,CROSS,SHOE
70,LIST_2W,BrownLock_1.jpg,mismatch,1,HOUSE,CUP
71,LIST_2W,BlackTree_1.jpg,mismatch,2,BOAT,NOTE
72,LIST_2W,BlackCane_2.jpg,mismatch,3,PLANE,TREE
73,LIST_2W,BrownCup_2.jpg,match,0,LAMP,CUP
74,LIST_1W,BrownBone_1.jpg,match,0,QXSW,BONE
75,LIST_1W,RedCane_3.jpg,mismatch,1,QXSW,BAG
76,LIST_1W,BrownCup_3.jpg,mismatch,2,RJDNW,HOUSE
77,LIST_1W,GreenPlane_2.jpg,mismatch,3,XKQ,LOCK
78,LIST_1W,GreenFlag_1.jpg,match,0,MTPV,FLAG
79,COMP_2W,BlueSquare_1.jpg,match,0,BLUE,SQUARE
80,COMP_2W,RedBag_1.jpg,mismatch,1,RED,BOW
81,COMP_2W,BlueNote_1.jpg,mismatch,1,BLUE,BAG
82,COMP_2W,RedNote_2.jpg,match,0,RED,NOTE
83,COMP_2W,BlackBell_3.jpg,mismatch,3,BLUE,TREE
84,FIX,NA,NA,NA,NA,NA
