,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,ZBXLV,BROWN,WVCNZ,HOUSE,DISC,match,0,1,GreenDisc_1.jpg,BrownDisc_3.jpg,BlueDisc_1.jpg,PinkHouse_1.jpg
1,MTPV,PINK,MTPV,BOAT,DISC,match,0,2,BlackDisc_3.jpg,PinkDisc_2.jpg,BlueDisc_1.jpg,BlackDisc_1.jpg
2,QXSW,BLUE,QXSW,LAMP,DISC,mismatch,2,0,BrownLamp_1.jpg,RedDisc_3.jpg,PinkShoe_3.jpg,BlueCar_2.jpg
3,WVCNZ,GREEN,ZBXLV,CROSS,DISC,mismatch,1,0,RedBow_1.jpg,GreenStar_3.jpg,BlueFork_3.jpg,BlackLamp_1.jpg
4,MTPV,BLUE,MTPV,BOAT,PLANE,match,0,1,BlackPlane_1.jpg,BluePlane_2.jpg,BluePlane_2.jpg,BrownBoat_3.jpg
5,QXSW,PINK,QXSW,LAMP,PLANE,match,0,2,BrownPlane_2.jpg,PinkPlane_2.jpg,BrownPlane_3.jpg,RedPlane_2.jpg
6,ZBXLV,GREEN,WVCNZ,HOUSE,PLANE,mismatch,3,0,BrownBell_2.jpg,BrownLeaf_2.jpg,BlackSquare_1.jpg,GreenFork_1.jpg
7,XKQ,RED,XKQ,CUP,PLANE,mismatch,2,0,PinkHeart_1.jpg,PinkPlane_2.jpg,PinkHand_2.jpg,RedDisc_1.jpg
8,ZBXLV,BROWN,RJDNW,HOUSE,BAG,match,0,1,BrownBag_2.jpg,BrownBag_1.jpg,BlackBag_1.jpg,RedHouse_1.jpg
9,MTPV,PINK,QXSW,BOAT,BAG,match,0,2,RedBag_2.jpg,PinkBag_2.jpg,BlackBag_3.jpg,BlackBag_3.jpg
10,QXSW,BLUE,MTPV,LAMP,BAG,mismatch,1,0,BlueFork_1.jpg,BlueDisc_1.jpg,BlackPlane_2.jpg,BlackCup_3.jpg
11,RJDNW,GREEN,WVCNZ,PLANE,BAG,mismatch,1,0,BlueBoat_2.jpg,GreenBow_3.jpg,RedDisc_2.jpg,BrownKey_1.jpg
12,ZBXLV,BLACK,WVCNZ,CROSS,LOCK,match,0,1,BlackLock_1.jpg,BlackLock_1.jpg,GreenLock_2.jpg,BlackCross_1.jpg
13,MTPV,BLUE,QXSW,BOAT,LOCK,match,0,2,BlueLock_1.jpg,BlueLock_2.jpg,PinkLock_1.jpg,BrownLock_3.jpg
14,RJDNW,GREEN,ZBXLV,HOUSE,LOCK,mismatch,2,0,RedBell_3.jpg,BrownLock_3.jpg,RedBone_3.jpg,RedCross_1.jpg
15,QXSW,PINK,MTPV,LAMP,LOCK,mismatch,3,0,BrownHand_2.jpg,BlueLeaf_1.jpg,BrownHouse_2.jpg,BlackCross_2.jpg
16,RJDNW,BLACK,WVCNZ,HOUSE,CANE,match,0,1,GreenCane_2.jpg,BlackCane_1.jpg,BrownCane_3.jpg,GreenHouse_3.jpg
17,WVCNZ,BROWN,RJDNW,CROSS,CANE,match,0,2,RedCane_3.jpg,BrownCane_1.jpg,BlackCane_2.jpg,GreenCane_2.jpg
18,QXSW,PINK,QXSW,BOAT,CANE,mismatch,3,0,BlueLeaf_1.jpg,BlackLeaf_2.jpg,BlueHouse_1.jpg,BlackStar_3.jpg
19,XKQ,RED,XKQ,CUP,CANE,mismatch,2,0,PinkKey_2.jpg,BrownCane_1.jpg,BlueLamp_3.jpg,BrownDisc_1.jpg
20,WVCNZ,BLACK,WVCNZ,HOUSE,HAND,match,0,1,BrownHand_2.jpg,BlackHand_3.jpg,BlueHand_3.jpg,BlackHouse_3.jpg
21,QXSW,PINK,MTPV,BOAT,HAND,match,0,2,PinkHand_1.jpg,PinkHand_3.jpg,BrownHand_1.jpg,BlueHand_3.jpg
22,XKQ,RED,XKQ,CUP,HAND,mismatch,1,0,BlackNote_3.jpg,RedNote_3.jpg,BrownBone_2.jpg,RedTree_3.jpg
23,RJDNW,BROWN,ZBXLV,CROSS,HAND,mismatch,3,0,BlackDisc_3.jpg,BrownFork_2.jpg,GreenCross_3.jpg,GreenBag_1.jpg
24,QXSW,BLUE,QXSW,LAMP,KEY,match,0,1,BrownKey_1.jpg,BlueKey_2.jpg,BrownKey_2.jpg,RedLamp_1.jpg
25,WVCNZ,BROWN,RJDNW,HOUSE,KEY,match,0,2,PinkKey_2.jpg,BrownKey_2.jpg,BlueKey_1.jpg,BlackKey_3.jpg
26,XKQ,RED,XKQ,CUP,KEY,mismatch,2,0,PinkCross_1.jpg,BlueKey_2.jpg,BrownLock_3.jpg,BlackLamp_2.jpg
27,ZBXLV,GREEN,WVCNZ,PLANE,KEY,mismatch,1,0,GreenBoat_1.jpg,GreenNote_2.jpg,BlackCup_1.jpg,BlueFlag_1.jpg
28,XKQ,RED,XKQ,CUP,SHOE,match,0,1,BlackShoe_3.jpg,RedShoe_2.jpg,BrownShoe_2.jpg,RedCup_1.jpg
29,MTPV,PINK,QXSW,LAMP,SHOE,match,0,2,BlackShoe_1.jpg,PinkShoe_3.jpg,BlackShoe_1.jpg,BrownShoe_1.jpg
30,ZBXLV,BROWN,RJDNW,CROSS,SHOE,mismatch,3,0,BlueLock_1.jpg,BluePlane_2.jpg,PinkKey_2.jpg,BrownLamp_2.jpg
31,RJDNW,BLACK,ZBXLV,HOUSE,SHOE,mismatch,1,0,PinkHouse_3.jpg,BlackTree_1.jpg,RedBell_3.jpg,PinkCross_2.jpg
32,ZBXLV,BLACK,RJDNW,PLANE,BONE,match,0,1,GreenBone_3.jpg,BlackBone_3.jpg,GreenBone_2.jpg,BrownPlane_3.jpg
33,MTPV,BLUE,QXSW,LAMP,BONE,match,0,2,GreenBone_2.jpg,BlueBone_2.jpg,RedBone_3.jpg,GreenBone_1.jpg
34,RJDNW,BROWN,WVCNZ,CROSS,BONE,mismatch,3,0,RedBow_1.jpg,PinkDisc_3.jpg,BlueCross_3.jpg,BrownHeart_1.jpg
35,XKQ,RED,XKQ,CUP,BONE,mismatch,1,0,RedBag_3.jpg,RedKey_1.jpg,BlackStar_3.jpg,BrownHeart_1.jpg
36,MTPV,BLUE,MTPV,BOAT,SQUARE,match,0,1,PinkSquare_1.jpg,BlueSquare_2.jpg,RedSquare_2.jpg,GreenBoat_2.jpg
37,XKQ,RED,XKQ,CUP,SQUARE,match,0,2,RedSquare_2.jpg,RedSquare_3.jpg,PinkSquare_1.jpg,BlackSquare_3.jpg
38,WVCNZ,BROWN,ZBXLV,HOUSE,SQUARE,mismatch,1,0,BlackBone_2.jpg,BrownLock_3.jpg,GreenCup_1.jpg,BlueBell_3.jpg
39,ZBXLV,GREEN,RJDNW,PLANE,SQUARE,mismatch,3,0,RedShoe_3.jpg,BlackTree_1.jpg,BlueKey_3.jpg,BlackCar_2.jpg
40,ZBXLV,BLACK,WVCNZ,PLANE,BELL,match,0,1,PinkBell_3.jpg,BlackBell_1.jpg,GreenBell_3.jpg,RedPlane_1.jpg
