,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,ZBXLV,NOTE,COMP_1W,mismatch,3,BlueShoe_1.jpg,600
1,XKQ,DISC,COMP_1W,mismatch,3,BrownBoat_1.jpg,600
2,ZBXLV,DISC,COMP_1W,match,0,GreenDisc_1.jpg,500
3,PINK,CAR,COMP_2W,match,0,PinkCar_3.jpg,300
4,RJDNW,SHOE,COMP_1W,mismatch,1,BlackCar_1.jpg,200
5,BLUE,PLANE,COMP_2W,mismatch,2,BrownPlane_2.jpg,200
6,GREEN,PLANE,COMP_2W,match,0,GreenPlane_1.jpg,300
7,MTPV,LOCK,COMP_1W,match,0,BlackLock_1.jpg,400
8,BLACK,HAND,COMP_2W,mismatch,3,BrownDisc_2.jpg,500
9,GREEN,CROSS,COMP_2W,mismatch,1,GreenBone_1.jpg,400
10,XKQ,HEART,COMP_1W,mismatch,3,BlackLamp_3.jpg,500
11,RED,SHOE,COMP_2W,mismatch,1,RedDisc_3.jpg,300
12,PINK,LOCK,COMP_2W,match,0,PinkLock_2.jpg,500
13,BLACK,BAG,COMP_2W,match,0,BlackBag_3.jpg,500
14,WVCNZ,BAG,COMP_1W,match,0,GreenBag_2.jpg,200
15,RED,HEART,COMP_2W,mismatch,3,BrownNote_2.jpg,400
16,WVCNZ,PLANE,COMP_1W,mismatch,3,BlackHouse_1.jpg,300
17,RJDNW,CANE,COMP_1W,match,0,RedCane_1.jpg,600
18,BLUE,BAG,COMP_2W,mismatch,2,BlueBag_2.jpg,200
19,RED,BOW,COMP_2W,match,0,RedBow_3.jpg,300
20,BLUE,SHOE,COMP_2W,match,0,BlueShoe_3.jpg,600
21,RJDNW,FLAG,COMP_1W,match,0,RedFlag_1.jpg,400
22,BROWN,STAR,COMP_2W,mismatch,3,BlueTree_1.jpg,400
23,PINK,CANE,COMP_2W,mismatch,1,PinkNote_3.jpg,300
24,RJDNW,NOTE,COMP_1W,mismatch,2,BlackHouse_2.jpg,300
25,WVCNZ,BONE,COMP_1W,match,0,BrownBone_3.jpg,400
26,BLUE,KEY,COMP_2W,mismatch,1,BlueTree_3.jpg,500
27,ZBXLV,HEART,COMP_1W,match,0,BlackHeart_1.jpg,200
28,BLACK,TREE,COMP_2W,mismatch,3,BrownNote_1.jpg,400
29,RJDNW,LAMP,COMP_1W,mismatch,2,PinkCane_3.jpg,400
30,RJDNW,BOAT,COMP_1W,match,0,BlackBoat_3.jpg,400
31,BROWN,KEY,COMP_2W,mismatch,1,BrownFork_2.jpg,400
32,XKQ,KEY,COMP_1W,match,0,GreenKey_2.jpg,300
33,BROWN,BELL,COMP_2W,match,0,BrownBell_3.jpg,400
34,BROWN,LEAF,COMP_2W,match,0,BrownLeaf_1.jpg,200
35,QXSW,FORK,COMP_1W,mismatch,3,BrownBell_2.jpg,300
36,MTPV,STAR,COMP_1W,match,0,BrownStar_3.jpg,300
37,QXSW,CUP,COMP_1W,match,0,GreenCup_1.jpg,300
38,BROWN,SQUARE,COMP_2W,match,0,BrownSquare_3.jpg,300
39,RED,FORK,COMP_2W,match,0,RedFork_3.jpg,200
40,WVCNZ,CUP,COMP_1W,mismatch,2,BlueHeart_3.jpg,600
41,QXSW,BOW,COMP_1W,mismatch,2,BlackCup_3.jpg,400
42,RED,LOCK,COMP_2W,mismatch,1,RedStar_1.jpg,200
43,BLUE,SHOE,COMP_2W,match,0,BlueShoe_3.jpg,600
44,RJDNW,HAND,COMP_1W,match,0,BlueHand_3.jpg,500
45,WVCNZ,HEART,COMP_1W,mismatch,3,GreenBow_3.jpg,400
46,RED,FLAG,COMP_2W,match,0,RedFlag_3.jpg,200
47,QXSW,CUP,COMP_1W,match,0,GreenCup_1.jpg,500
48,BLUE,FORK,COMP_2W,mismatch,3,PinkBow_2.jpg,600
49,GREEN,LOCK,COMP_2W,match,0,GreenLock_1.jpg,600
50,BROWN,STAR,COMP_2W,mismatch,3,BlueTree_1.jpg,300
51,WVCNZ,HEART,COMP_1W,mismatch,3,GreenBow_3.jpg,500
52,QXSW,BOW,COMP_1W,mismatch,2,BlackCup_3.jpg,600
53,MTPV,BONE,COMP_1W,match,0,RedBone_3.jpg,600
54,BLUE,SQUARE,COMP_2W,mismatch,1,BlueNote_2.jpg,600
55,ZBXLV,FLAG,COMP_1W,mismatch,2,RedHand_3.jpg,500
56,GREEN,STAR,COMP_2W,mismatch,1,GreenHouse_2.jpg,200
57,BLUE,TREE,COMP_2W,match,0,BlueTree_3.jpg,400
58,QXSW,LOCK,COMP_1W,mismatch,2,PinkFlag_1.jpg,400
59,ZBXLV,CROSS,COMP_1W,match,0,PinkCross_3.jpg,200
60,PINK,BONE,COMP_2W,match,0,PinkBone_3.jpg,400
