,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,PLANE,DISC,LIST_2W,match,0,BrownDisc_1.jpg,400
1,WVCNZ,NOTE,LIST_1W,match,0,BlueNote_3.jpg,600
2,WVCNZ,HEART,LIST_1W,match,0,PinkHeart_3.jpg,200
3,LAMP,CAR,LIST_2W,mismatch,3,BrownBell_1.jpg,200
4,RJDNW,CAR,LIST_1W,match,0,BrownCar_1.jpg,300
5,PLANE,STAR,LIST_2W,mismatch,3,BlackShoe_3.jpg,400
6,QXSW,PLANE,LIST_1W,match,0,GreenPlane_3.jpg,600
7,CUP,FORK,LIST_2W,mismatch,1,BrownFlag_1.jpg,300
8,CROSS,KEY,LIST_2W,mismatch,3,PinkLock_1.jpg,500
9,PLANE,CAR,LIST_2W,match,0,RedPlane_2.jpg,500
10,QXSW,BONE,LIST_1W,mismatch,1,BrownLeaf_1.jpg,400
11,HOUSE,LAMP,LIST_2W,mismatch,3,BlueTree_3.jpg,500
12,HOUSE,BOAT,LIST_2W,match,0,BlackHouse_1.jpg,300
13,LAMP,DISC,LIST_2W,mismatch,1,RedLeaf_2.jpg,200
14,XKQ,LOCK,LIST_1W,mismatch,3,BrownDisc_1.jpg,600
15,RJDNW,HAND,LIST_1W,match,0,RedHand_1.jpg,500
16,BOAT,BAG,LIST_2W,mismatch,2,PinkFork_3.jpg,500
17,XKQ,LEAF,LIST_1W,mismatch,2,PinkStar_1.jpg,400
18,PLANE,LEAF,LIST_2W,match,0,GreenPlane_1.jpg,400
19,ZBXLV,CROSS,LIST_1W,match,0,GreenCross_2.jpg,500
20,CUP,HOUSE,LIST_2W,mismatch,1,BlackLamp_2.jpg,600
21,WVCNZ,FLAG,LIST_1W,match,0,BlueFlag_2.jpg,200
22,MTPV,STAR,LIST_1W,mismatch,2,BrownBell_1.jpg,300
23,CUP,LOCK,LIST_2W,mismatch,3,BlackDisc_3.jpg,200
24,MTPV,PLANE,LIST_1W,mismatch,2,RedLock_3.jpg,500
25,PLANE,LEAF,LIST_2W,match,0,GreenPlane_1.jpg,600
26,ZBXLV,LAMP,LIST_1W,match,0,BlueLamp_1.jpg,400
27,ZBXLV,HOUSE,LIST_1W,match,0,RedHouse_3.jpg,300
28,WVCNZ,SHOE,LIST_1W,mismatch,3,BlueBow_3.jpg,600
29,HOUSE,SHOE,LIST_2W,mismatch,3,BlueBag_2.jpg,400
30,WVCNZ,SQUARE,LIST_1W,mismatch,3,BlueTree_2.jpg,200
31,CUP,NOTE,LIST_2W,mismatch,1,BrownBell_1.jpg,300
32,XKQ,CAR,LIST_1W,match,0,BlackCar_1.jpg,500
33,CROSS,CUP,LIST_2W,match,0,RedCross_3.jpg,200
34,CROSS,HAND,LIST_2W,mismatch,2,BrownBone_3.jpg,500
35,HOUSE,BOAT,LIST_2W,match,0,BlackHouse_1.jpg,500
36,RJDNW,PLANE,LIST_1W,mismatch,2,GreenFlag_1.jpg,200
37,PLANE,CROSS,LIST_2W,mismatch,1,BlueCar_1.jpg,200
38,MTPV,LEAF,LIST_1W,match,0,BrownLeaf_3.jpg,200
39,HOUSE,CANE,LIST_2W,match,0,BlueCane_2.jpg,200
40,RJDNW,FLAG,LIST_1W,match,0,RedFlag_1.jpg,400
41,QXSW,BOW,LIST_1W,match,0,BrownBow_2.jpg,600
42,PLANE,HAND,LIST_2W,mismatch,3,BlackDisc_2.jpg,400
43,CROSS,BOW,LIST_2W,mismatch,1,BrownBone_3.jpg,400
44,MTPV,TREE,LIST_1W,match,0,BlackTree_3.jpg,400
45,XKQ,BONE,LIST_1W,mismatch,2,PinkKey_3.jpg,400
46,ZBXLV,LOCK,LIST_1W,match,0,BlueLock_1.jpg,400
47,PLANE,TREE,LIST_2W,mismatch,1,BlueCup_1.jpg,400
48,QXSW,HAND,LIST_1W,match,0,BlackHand_3.jpg,300
49,PLANE,KEY,LIST_2W,match,0,GreenKey_3.jpg,500
50,MTPV,LOCK,LIST_1W,mismatch,3,PinkBow_3.jpg,600
51,WVCNZ,SQUARE,LIST_1W,mismatch,3,BlueTree_2.jpg,300
52,CROSS,STAR,LIST_2W,match,0,BlueCross_3.jpg,500
53,HOUSE,FORK,LIST_2W,match,0,BrownHouse_1.jpg,600
54,RJDNW,HAND,LIST_1W,match,0,RedHand_1.jpg,300
55,MTPV,LOCK,LIST_1W,mismatch,3,PinkBow_3.jpg,200
56,PLANE,BAG,LIST_2W,match,0,PinkBag_2.jpg,400
57,CUP,KEY,LIST_2W,match,0,BlueCup_2.jpg,300
58,XKQ,BELL,LIST_1W,match,0,PinkBell_1.jpg,300
59,BOAT,FLAG,LIST_2W,mismatch,2,PinkBell_2.jpg,300
60,WVCNZ,HAND,LIST_1W,mismatch,2,BrownHeart_1.jpg,500
61,XKQ,LAMP,LIST_1W,match,0,BlackLamp_1.jpg,500
62,WVCNZ,TREE,LIST_1W,match,0,RedTree_1.jpg,200
63,CROSS,SHOE,LIST_2W,mismatch,3,PinkStar_3.jpg,300
64,QXSW,KEY,LIST_1W,mismatch,1,BlackHouse_1.jpg,600
65,CUP,BOAT,LIST_2W,mismatch,1,RedLamp_1.jpg,600
66,WVCNZ,BOAT,LIST_1W,mismatch,1,BlackNote_3.jpg,400
67,ZBXLV,LOCK,LIST_1W,match,0,BlueLock_1.jpg,600
68,BOAT,BELL,LIST_2W,mismatch,3,BrownBow_1.jpg,600
69,MTPV,SHOE,LIST_1W,match,0,RedShoe_1.jpg,500
70,MTPV,HEART,LIST_1W,mismatch,2,PinkLock_1.jpg,200
71,ZBXLV,HAND,LIST_1W,mismatch,3,PinkBoat_2.jpg,300
72,PLANE,BAG,LIST_2W,match,0,PinkBag_2.jpg,200
73,QXSW,CROSS,LIST_1W,match,0,BrownCross_1.jpg,200
74,HOUSE,FORK,LIST_2W,match,0,BrownHouse_1.jpg,600
75,MTPV,HEART,LIST_1W,mismatch,2,PinkLock_1.jpg,300
76,CROSS,PLANE,LIST_2W,match,0,RedPlane_2.jpg,400
77,CUP,CANE,LIST_2W,match,0,BrownCup_2.jpg,600
78,CROSS,CUP,LIST_2W,match,0,RedCross_3.jpg,200
79,RJDNW,BELL,LIST_1W,mismatch,1,GreenSquare_1.jpg,500
80,ZBXLV,HOUSE,LIST_1W,match,0,RedHouse_3.jpg,600
81,CUP,CROSS,LIST_2W,mismatch,2,PinkHeart_1.jpg,300
82,HOUSE,FLAG,LIST_2W,mismatch,1,PinkCup_1.jpg,600
