,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,XKQ,RED,XKQ,CUP,DISC,match,0,1,BlackDisc_3.jpg,RedDisc_1.jpg,BlueDisc_1.jpg,RedCup_1.jpg
1,MTPV,BLUE,QXSW,LAMP,DISC,match,0,2,RedDisc_2.jpg,BlueDisc_1.jpg,PinkDisc_2.jpg,BlackDisc_3.jpg
2,ZBXLV,BROWN,RJDNW,HOUSE,DISC,mismatch,1,0,BrownBag_2.jpg,BrownFlag_1.jpg,RedBoat_3.jpg,BlueCross_3.jpg
3,RJDNW,BLACK,WVCNZ,PLANE,DISC,mismatch,3,0,BlackFork_1.jpg,PinkHeart_3.jpg,BlueBow_1.jpg,GreenBoat_1.jpg
4,MTPV,BLUE,QXSW,LAMP,PLANE,match,0,1,RedPlane_1.jpg,BluePlane_1.jpg,PinkPlane_2.jpg,BlackLamp_2.jpg
5,XKQ,RED,XKQ,CUP,PLANE,match,0,2,PinkPlane_3.jpg,RedPlane_1.jpg,PinkPlane_2.jpg,PinkPlane_2.jpg
6,WVCNZ,BROWN,RJDNW,CROSS,PLANE,mismatch,3,0,GreenBone_2.jpg,BrownBow_2.jpg,GreenSquare_3.jpg,PinkBow_1.jpg
7,ZBXLV,GREEN,ZBXLV,HOUSE,PLANE,mismatch,3,0,BrownCar_3.jpg,PinkLamp_2.jpg,BrownBow_1.jpg,BrownCross_2.jpg
8,XKQ,RED,XKQ,CUP,BAG,match,0,1,RedBag_1.jpg,RedBag_3.jpg,BlackBag_1.jpg,BrownCup_3.jpg
9,WVCNZ,BROWN,RJDNW,PLANE,BAG,match,0,2,BrownBag_1.jpg,BrownBag_2.jpg,PinkBag_3.jpg,PinkBag_3.jpg
10,MTPV,BLUE,QXSW,BOAT,BAG,mismatch,2,0,BlueCar_1.jpg,GreenBag_3.jpg,PinkFork_3.jpg,GreenFork_2.jpg
