,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,wvcnz,Black,zbxlv,Cross,Disc,match,0,1,BlackDisc_1.jpg,BlackDisc_2.jpg,GreenDisc_1.jpg,RedCross_1.jpg
1,qxsw,Pink,qxsw,Boat,Disc,match,0,2,BrownDisc_3.jpg,PinkDisc_2.jpg,BrownDisc_2.jpg,GreenDisc_3.jpg
2,mtpv,Blue,mtpv,Lamp,Disc,mismatch,3,0,BrownCross_1.jpg,PinkNote_3.jpg,BrownKey_3.jpg,BrownBag_3.jpg
3,rjdnw,Green,rjdnw,Plane,Disc,mismatch,1,0,BlueTree_2.jpg,GreenShoe_1.jpg,BrownLamp_2.jpg,GreenFlag_3.jpg
4,mtpv,Pink,qxsw,Boat,Plane,match,0,1,BrownPlane_1.jpg,PinkPlane_2.jpg,BrownPlane_2.jpg,BrownBoat_1.jpg
5,xkq,Red,xkq,Cup,Plane,match,0,2,BluePlane_3.jpg,RedPlane_2.jpg,GreenPlane_2.jpg,BrownPlane_3.jpg
6,zbxlv,Green,wvcnz,Cross,Plane,mismatch,3,0,BlackBone_1.jpg,GreenBone_2.jpg,BrownShoe_2.jpg,BlueBag_1.jpg
7,wvcnz,Black,zbxlv,House,Plane,mismatch,1,0,BrownBell_2.jpg,BlackStar_2.jpg,BlueCar_3.jpg,BlueFlag_2.jpg
8,rjdnw,Black,wvcnz,House,Bag,match,0,1,RedBag_1.jpg,BlackBag_2.jpg,BlueBag_1.jpg,BrownHouse_1.jpg
9,wvcnz,Brown,rjdnw,Plane,Bag,match,0,2,BlueBag_3.jpg,BrownBag_1.jpg,BrownBag_3.jpg,GreenBag_2.jpg
10,zbxlv,Green,zbxlv,Cross,Bag,mismatch,3,0,GreenHand_1.jpg,PinkCane_1.jpg,BlackSquare_3.jpg,RedSquare_2.jpg
11,xkq,Red,xkq,Cup,Bag,mismatch,1,0,RedShoe_1.jpg,RedStar_3.jpg,PinkCup_2.jpg,RedLeaf_3.jpg
12,qxsw,Blue,mtpv,Boat,Lock,match,0,1,PinkLock_3.jpg,BlueLock_2.jpg,RedLock_1.jpg,PinkBoat_3.jpg
13,wvcnz,Green,zbxlv,Plane,Lock,match,0,2,BlackLock_3.jpg,GreenLock_2.jpg,RedLock_3.jpg,BlueLock_2.jpg
14,zbxlv,Brown,wvcnz,Cross,Lock,mismatch,2,0,GreenTree_2.jpg,RedLock_1.jpg,BrownSquare_2.jpg,GreenLamp_3.jpg
15,mtpv,Pink,qxsw,Lamp,Lock,mismatch,2,0,GreenStar_2.jpg,GreenLock_3.jpg,GreenNote_3.jpg,BlackFork_3.jpg
16,rjdnw,Green,zbxlv,Plane,Cane,match,0,1,RedCane_3.jpg,GreenCane_2.jpg,PinkCane_3.jpg,PinkPlane_2.jpg
17,wvcnz,Brown,rjdnw,House,Cane,match,0,2,BlueCane_1.jpg,BrownCane_1.jpg,PinkCane_1.jpg,GreenCane_2.jpg
18,mtpv,Pink,mtpv,Lamp,Cane,mismatch,3,0,BlueBow_3.jpg,GreenDisc_2.jpg,BrownSquare_1.jpg,GreenLeaf_1.jpg
19,zbxlv,Black,wvcnz,Cross,Cane,mismatch,2,0,PinkTree_1.jpg,RedCane_3.jpg,BlueSquare_3.jpg,RedHand_3.jpg
20,rjdnw,Green,zbxlv,Cross,Hand,match,0,1,PinkHand_2.jpg,GreenHand_2.jpg,PinkHand_2.jpg,PinkCross_2.jpg
21,zbxlv,Brown,rjdnw,House,Hand,match,0,2,BlackHand_2.jpg,BrownHand_1.jpg,BlackHand_1.jpg,BlackHand_1.jpg
22,mtpv,Blue,qxsw,Lamp,Hand,mismatch,3,0,BlackKey_1.jpg,RedFlag_2.jpg,BlackCup_3.jpg,BlueCane_3.jpg
23,xkq,Red,xkq,Cup,Hand,mismatch,2,0,PinkCup_3.jpg,GreenHand_1.jpg,BrownLeaf_1.jpg,BrownCane_1.jpg
24,mtpv,Pink,mtpv,Boat,Key,match,0,1,GreenKey_3.jpg,PinkKey_3.jpg,BlackKey_2.jpg,BlueBoat_3.jpg
