PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI
86,Low,IDEOLOGY,OTHER,Is it alive?,0,0,4000
38,Low,PASTA,FOOD,Can you eat or drink it?,1,1,4000
81,High,MURDER,OTHER,Can you wear it?,3,0,4000
38,Low,PASTA,FOOD,Did humans create it?,5,1,4000
37,High,BROCCOLI,FOOD,Can you hold it?,4,1,4000
46,Low,SAUCE,FOOD,Can you hold it?,4,1,4000
37,High,BROCCOLI,FOOD,Did humans create it?,5,0,4000
2,Low,INSECT,ANIMAL,Can you hold it?,4,1,4000
77,High,BALLERINA,OCCUPATION,Does it make sounds?,6,1,4000
62,Low,MUSCLE,HUMAN PART,Is it alive?,0,0,4000
89,High,SPRING,OTHER,Can you find it in the wild?,2,1,4000
6,Low,FISH,ANIMAL,Can you eat or drink it?,1,1,4000
61,High,PINKIE,HUMAN PART,Is it alive?,0,0,4000
42,Low,HERB,FOOD,Did humans create it?,5,0,4000
42,Low,HERB,FOOD,Can you find it in the wild?,2,1,4000
77,High,BALLERINA,OCCUPATION,Can you find it in the wild?,2,0,4000
1,High,BULLDOG,ANIMAL,Does it make sounds?,6,1,4000
33,High,UNCLE,FAMILY,Does it make sounds?,6,1,4000
26,Low,CONTAINER,ARTIFACTS,Does it float in water?,7,1,4000
17,High,ASPIRIN,ARTIFACTS,Can you hold it?,4,1,4000
94,Low,DANCE,SPORT+LEISURE,Can you hold it?,4,0,4000
74,Low,ARTIST,OCCUPATION,Can you wear it?,3,0,4000
5,High,MOUSE,ANIMAL,Can you hold it?,4,1,4000
17,High,ASPIRIN,ARTIFACTS,Does it float in water?,7,0,4000
70,Low,DOCTOR,OCCUPATION,Can you wear it?,3,0,4000
38,Low,PASTA,FOOD,Can you wear it?,3,0,4000
25,High,AXE,ARTIFACTS,Can you eat or drink it?,1,0,4000
9,High,SPARROW,ANIMAL,Is it alive?,0,1,4000
2,Low,INSECT,ANIMAL,Does it float in water?,7,1,4000
49,High,PHONE,ARTIFACTS,Does it float in water?,7,0,4000
69,High,GOLD,NATURE INANIMATE,Does it float in water?,7,0,4000
21,High,RING,ARTIFACTS,Did humans create it?,5,1,4000
70,Low,DOCTOR,OCCUPATION,Is it alive?,0,1,4000
18,Low,CANDY,FOOD,Can you eat or drink it?,1,1,4000
6,Low,FISH,ANIMAL,Does it make sounds?,6,0,4000
69,High,GOLD,NATURE INANIMATE,Can you eat or drink it?,1,0,4000
1,High,BULLDOG,ANIMAL,Can you eat or drink it?,1,0,4000
90,Low,BOAT,SPORT+LEISURE,Can you find it in the wild?,2,0,4000
74,Low,ARTIST,OCCUPATION,Does it make sounds?,6,1,4000
93,High,CHECKERS,SPORT+LEISURE,Did humans create it?,5,1,4000
30,Low,HAT,CLOTHES+ACCESS,Can you find it in the wild?,2,0,4000
53,High,EARTH,NATURE INANIMATE,Can you wear it?,3,0,4000
13,High,FROG,ANIMAL,Can you find it in the wild?,2,1,4000
57,High,TEA,FOOD,Can you wear it?,3,0,4000
62,Low,MUSCLE,HUMAN PART,Does it make sounds?,6,0,4000
58,Low,ORGAN,HUMAN PART,Did humans create it?,5,0,4000
30,Low,HAT,CLOTHES+ACCESS,Does it float in water?,7,1,4000
13,High,FROG,ANIMAL,Is it alive?,0,1,4000
