PairNumber,Condition,Noun,Category,Is it alive?,Can you eat or drink it?,Can you find it in the wild?,Can you wear it?,Can you hold it?,Did humans create it?,Does it make sounds?,Does it float in water?
1,Low,DOG,ANIMAL,1,0,-1,0,1,0,1,1
1,High,BULLDOG,ANIMAL,1,0,0,0,1,-1,1,0
2,Low,INSECT,ANIMAL,1,0,1,0,1,0,1,1
2,High,BEE,ANIMAL,1,0,1,0,1,0,1,1
3,Low,BEAR,ANIMAL,1,0,1,0,-1,0,1,1
3,High,PANDA,ANIMAL,1,0,1,0,-1,0,1,1
4,Low,PET,ANIMAL,1,0,0,0,1,-1,-1,1
4,High,CAT,ANIMAL,1,0,-1,0,1,-1,1,1
5,Low,MAMMAL,ANIMAL,1,0,1,0,-1,0,1,1
5,High,MOUSE,ANIMAL,1,0,1,0,1,0,1,1
6,Low,FISH,ANIMAL,1,1,1,0,1,0,0,0
6,High,SALMON,ANIMAL,1,1,1,0,1,0,0,0
7,Low,SNAKE,ANIMAL,1,0,1,0,1,0,1,0
7,High,COBRA,ANIMAL,1,0,1,0,1,0,1,0
8,Low,APE,ANIMAL,1,0,1,0,0,0,1,0
8,High,GORILLA,ANIMAL,1,0,1,0,0,0,1,0
9,Low,BIRD,ANIMAL,1,0,1,0,1,0,1,1
9,High,SPARROW,ANIMAL,1,0,1,0,1,0,1,1
10,Low,LIZARD,ANIMAL,1,0,1,0,1,0,-1,1
10,High,GECKO,ANIMAL,1,0,1,0,1,0,-1,1
11,Low,MARSUPIAL,ANIMAL,1,0,1,0,-1,0,-1,1
11,High,KANGAROO,ANIMAL,1,0,1,0,0,0,-1,1
12,Low,POULTRY,ANIMAL,1,1,1,0,1,0,1,1
12,High,TURKEY,ANIMAL,1,1,1,0,1,0,1,1
13,Low,AMPHIBIAN,ANIMAL,1,0,1,0,1,0,1,0
13,High,FROG,ANIMAL,1,-1,1,0,1,0,1,0
14,Low,SPIDER,ANIMAL,1,0,1,0,1,0,-1,1
14,High,TARANTULA,ANIMAL,1,0,1,0,1,0,-1,1
15,Low,FURNITURE,ARTIFACTS,0,0,0,0,-1,1,0,0
15,High,TABLE,ARTIFACTS,0,0,0,0,1,1,0,0
16,Low,UTENSIL,ARTIFACTS,0,0,0,0,1,1,0,0
16,High,FORK,ARTIFACTS,0,0,0,0,1,1,0,0
17,Low,MEDICINE,ARTIFACTS,0,1,0,0,1,1,0,0
17,High,ASPIRIN,ARTIFACTS,0,1,0,0,1,1,0,0
19,Low,JEWEL,ARTIFACTS,0,0,0,1,1,-1,0,0
19,High,RUBY,ARTIFACTS,0,0,0,1,1,-1,0,0
20,Low,APPLIANCE,ARTIFACTS,0,0,0,0,-1,1,1,0
20,High,REFRIGERATOR,ARTIFACTS,0,0,0,0,-1,1,1,0
21,Low,JEWELRY,ARTIFACTS,0,0,0,1,1,1,0,0
21,High,RING,ARTIFACTS,0,0,0,1,1,1,0,0
22,Low,COIN,ARTIFACTS,0,0,0,0,1,1,0,0
22,High,PENNY,ARTIFACTS,0,0,0,0,1,1,0,0
23,Low,WEAPON,ARTIFACTS,0,0,0,-1,-1,1,0,0
23,High,GUN,ARTIFACTS,0,0,0,-1,1,1,0,0
24,Low,FABRIC,ARTIFACTS,0,0,0,1,1,-1,0,1
24,High,SILK,ARTIFACTS,0,0,0,1,1,-1,0,1
25,Low,TOOL,ARTIFACTS,0,0,-1,-1,1,-1,0,0
25,High,AXE,ARTIFACTS,0,0,0,-1,1,1,0,0
26,Low,CONTAINER,ARTIFACTS,0,0,0,0,-1,-1,0,1
26,High,BOWL,ARTIFACTS,0,0,0,0,1,1,0,1
27,Low,MAKEUP,ARTIFACTS,0,0,0,1,1,1,0,0
27,High,LIPSTICK,ARTIFACTS,0,0,0,1,1,1,0,0
49,Low,GADGET,ARTIFACTS,0,0,0,-1,1,1,1,0
49,High,PHONE,ARTIFACTS,0,0,0,-1,1,1,1,0
28,Low,SHOES,CLOTHES+ACCESS,0,0,0,1,1,1,0,0
28,High,SNEAKERS,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
29,Low,BAG,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
29,High,PURSE,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
30,Low,HAT,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
30,High,BERET,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
31,Low,PANTS,CLOTHES+ACCESS,0,0,0,1,1,1,0,0
31,High,JEANS,CLOTHES+ACCESS,0,0,0,1,1,1,0,0
32,Low,PARENT,FAMILY,1,0,0,0,0,0,1,-1
32,High,MOTHER,FAMILY,1,0,0,0,0,0,1,-1
