PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI
38,Low,PASTA,FOOD,Can you eat or drink it?,1,1,500
1,High,BULLDOG,ANIMAL,Can you hold it?,4,1,300
1,High,BULLDOG,ANIMAL,Is it alive?,0,1,700
66,Low,MINERAL,NATURE INANIMATE,Can you wear it?,3,0,600
70,Low,DOCTOR,OCCUPATION,Is it alive?,0,1,600
33,High,UNCLE,FAMILY,Can you eat or drink it?,1,0,400
86,Low,IDEOLOGY,OTHER,Can you eat or drink it?,1,0,600
37,High,BROCCOLI,FOOD,Does it make sounds?,6,0,200
18,Low,CANDY,FOOD,Did humans create it?,5,1,200
57,High,TEA,FOOD,Does it make sounds?,6,0,400
1,High,BULLDOG,ANIMAL,Can you wear it?,3,0,300
30,Low,HAT,CLOTHES+ACCESS,Does it float in water?,7,1,400
90,Low,BOAT,SPORT+LEISURE,Does it float in water?,7,1,400
53,High,EARTH,NATURE INANIMATE,Can you find it in the wild?,2,1,700
1,High,BULLDOG,ANIMAL,Does it float in water?,7,0,700
6,Low,FISH,ANIMAL,Can you hold it?,4,1,600
13,High,FROG,ANIMAL,Can you find it in the wild?,2,1,300
86,Low,IDEOLOGY,OTHER,Can you find it in the wild?,2,0,200
94,Low,DANCE,SPORT+LEISURE,Is it alive?,0,0,300
53,High,EARTH,NATURE INANIMATE,Did humans create it?,5,0,400
46,Low,SAUCE,FOOD,Can you hold it?,4,1,300
85,High,DOLLAR,OTHER,Can you hold it?,4,1,500
21,High,RING,ARTIFACTS,Can you wear it?,3,1,700
62,Low,MUSCLE,HUMAN PART,Does it make sounds?,6,0,600
89,High,SPRING,OTHER,Is it alive?,0,0,600
18,Low,CANDY,FOOD,Can you wear it?,3,0,700
2,Low,INSECT,ANIMAL,Does it float in water?,7,1,500
38,Low,PASTA,FOOD,Does it make sounds?,6,0,700
61,High,PINKIE,HUMAN PART,Can you hold it?,4,1,700
10,Low,LIZARD,ANIMAL,Can you eat or drink it?,1,0,500
66,Low,MINERAL,NATURE INANIMATE,Can you find it in the wild?,2,1,500
49,High,PHONE,ARTIFACTS,Did humans create it?,5,1,600
34,Low,GRANDPARENT,FAMILY,Can you hold it?,4,0,200
29,High,PURSE,CLOTHES+ACCESS,Can you find it in the wild?,2,0,700
46,Low,SAUCE,FOOD,Can you wear it?,3,0,500
45,High,KETCHUP,FOOD,Can you wear it?,3,0,200
42,Low,HERB,FOOD,Can you find it in the wild?,2,1,600
49,High,PHONE,ARTIFACTS,Does it float in water?,7,0,500
86,Low,IDEOLOGY,OTHER,Did humans create it?,5,1,200
45,High,KETCHUP,FOOD,Can you eat or drink it?,1,1,400
30,Low,HAT,CLOTHES+ACCESS,Did humans create it?,5,1,400
29,High,PURSE,CLOTHES+ACCESS,Does it make sounds?,6,0,200
73,High,COMEDIAN,OCCUPATION,Is it alive?,0,1,400
66,Low,MINERAL,NATURE INANIMATE,Does it make sounds?,6,0,200
85,High,DOLLAR,OTHER,Did humans create it?,5,1,300
65,High,EARTHQUAKE,NATURE INANIMATE,Can you eat or drink it?,1,0,500
30,Low,HAT,CLOTHES+ACCESS,Is it alive?,0,0,300
73,High,COMEDIAN,OCCUPATION,Does it float in water?,7,1,300
