PairNumber,Condition,Noun,Category,Is it alive?,Can you eat or drink it?,Can you find it in the wild?,Can you wear it?,Can you hold it?,Did humans create it?,Does it make sounds?,Does it float in water?
3,Low,BEAR,ANIMAL,1,0,1,0,-1,0,1,1
4,High,CAT,ANIMAL,1,0,-1,0,1,-1,1,1
7,Low,SNAKE,ANIMAL,1,0,1,0,1,0,1,0
8,High,GORILLA,ANIMAL,1,0,1,0,0,0,1,0
11,Low,MARSUPIAL,ANIMAL,1,0,1,0,-1,0,-1,1
12,High,TURKEY,ANIMAL,1,1,1,0,1,0,1,1
15,Low,FURNITURE,ARTIFACTS,0,0,0,0,-1,1,0,0
16,High,FORK,ARTIFACTS,0,0,0,0,1,1,0,0
19,Low,JEWEL,ARTIFACTS,0,0,0,1,1,-1,0,0
20,High,REFRIGERATOR,ARTIFACTS,0,0,0,0,-1,1,1,0
23,Low,WEAPON,ARTIFACTS,0,0,0,-1,-1,1,0,0
24,High,SILK,ARTIFACTS,0,0,0,1,1,-1,0,1
27,Low,MAKEUP,ARTIFACTS,0,0,0,1,1,1,0,0
28,High,SNEAKERS,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
31,Low,PANTS,CLOTHES+ACCESS,0,0,0,1,1,1,0,0
32,High,MOTHER,FAMILY,1,0,0,0,0,0,1,-1
35,Low,COFFEE,FOOD,0,1,-1,0,-1,-1,0,0
36,High,APPLE,FOOD,0,1,1,0,1,0,0,1
39,Low,CRYSTAL,NATURE INANIMATE,0,0,1,1,1,0,0,0
40,High,BEEF,FOOD,0,1,1,0,1,-1,0,0
43,Low,BREAD,FOOD,0,1,0,0,1,1,0,1
44,High,SALT,FOOD,0,1,0,0,1,-1,0,-1
47,Low,CROP,FOOD,-1,1,-1,0,-1,-1,0,1
48,High,DONUT,FOOD,0,1,0,0,1,1,0,1
51,Low,OFFSPRING,FAMILY,1,0,0,0,-1,0,1,-1
52,High,CAKE,FOOD,0,1,0,0,1,1,0,-1
55,Low,CHEESE,FOOD,0,1,0,0,1,1,0,0
56,High,GINGER,FOOD,0,1,1,0,1,0,0,1
59,Low,LIMB,HUMAN PART,0,-1,-1,0,1,0,0,1
60,High,FEMUR,HUMAN PART,0,0,-1,0,1,0,0,0
63,Low,FLOWER,NATURE INANIMATE,1,0,1,1,1,0,0,1
64,High,MAPLE,NATURE INANIMATE,1,0,1,0,0,0,-1,-1
67,Low,LIQUID,NATURE INANIMATE,0,-1,1,0,-1,0,-1,-1
68,High,OXYGEN,NATURE INANIMATE,0,0,1,0,0,0,0,-1
71,Low,SCIENTIST,OCCUPATION,1,0,0,0,0,1,1,1
72,High,SENATOR,OCCUPATION,1,0,0,0,0,1,1,1
75,Low,MUSICIAN,OCCUPATION,1,0,0,0,0,1,1,1
76,High,QUEEN,OCCUPATION,1,0,0,0,0,1,1,1
79,Low,MATH,OTHER,0,0,0,0,0,-1,0,-1
80,High,HOTEL,OTHER,0,0,0,0,0,1,0,0
83,Low,ROOM,OTHER,0,0,0,0,0,1,0,-1
84,High,STROKE,OTHER,0,0,-1,0,0,0,0,-1
87,Low,INSTITUTION,OTHER,0,0,0,0,0,1,0,-1
88,High,COMEDY,OTHER,0,0,0,0,0,1,0,-1
91,Low,STONE,NATURE INANIMATE,0,0,1,-1,1,0,0,0
92,High,BASEBALL,SPORT+LEISURE,0,0,0,0,0,1,0,-1
95,Low,MEDIA,SPORT+LEISURE,0,0,0,0,-1,1,0,-1
96,High,BONGO,SPORT+LEISURE,0,0,0,-1,1,1,0,1
