PairNumber,Specificity,Noun,Category,alive?,eat or drink?,straight edges?,wild?,wear?,hold?,create/invent?,sounds?
1,Low,dog,ANIMAL,1,0,0,0,0,1,0,1
1,High,bulldog,ANIMAL,1,0,0,0,0,1,0,1
2,Low,insect,ANIMAL,1,0,0,1,0,1,0,1
2,High,bee,ANIMAL,1,0,0,1,0,1,0,1
3,Low,bear,ANIMAL,1,0,0,1,0,0,0,1
3,High,panda,ANIMAL,1,0,0,1,0,0,0,1
4,Low,pet,ANIMAL,1,0,0,0,0,1,0,0
4,High,cat,ANIMAL,1,0,0,0,0,1,0,1
5,Low,mammal,ANIMAL,1,0,0,1,0,0,0,1
5,High,mouse,ANIMAL,1,0,0,1,0,1,0,1
6,Low,fish,ANIMAL,1,1,0,1,0,1,0,0
6,High,salmon,ANIMAL,1,1,0,1,0,1,0,0
7,Low,snake,ANIMAL,1,0,0,1,0,1,0,1
7,High,cobra,ANIMAL,1,0,0,1,0,1,0,1
8,Low,ape,ANIMAL,1,0,0,1,0,0,0,1
8,High,gorilla,ANIMAL,1,0,0,1,0,0,0,1
9,Low,bird,ANIMAL,1,0,0,1,0,1,0,1
9,High,sparrow,ANIMAL,1,0,0,1,0,1,0,1
10,Low,lizard,ANIMAL,1,0,0,1,0,1,0,0
10,High,gecko,ANIMAL,1,0,0,1,0,1,0,0
11,Low,marsupial,ANIMAL,1,0,0,1,0,0,0,0
11,High,kangaroo,ANIMAL,1,0,0,1,0,0,0,0
12,Low,poultry,ANIMAL,1,1,0,1,0,1,0,1
12,High,turkey,ANIMAL,1,1,0,1,0,1,0,1
13,Low,amphibian,ANIMAL,1,0,0,1,0,1,0,1
13,High,frog,ANIMAL,1,0,0,1,0,1,0,1
14,Low,spider,ANIMAL,1,0,0,1,0,1,0,0
14,High,tarantula,ANIMAL,1,0,0,1,0,1,0,0
15,Low,furniture,ARTIFACTS,0,0,1,0,0,0,1,0
15,High,table,ARTIFACTS,0,0,1,0,0,1,1,0
16,Low,utensil,ARTIFACTS,0,0,0,0,0,1,1,0
16,High,fork,ARTIFACTS,0,0,0,0,0,1,1,0
17,Low,medicine,ARTIFACTS,0,1,0,0,0,1,1,0
17,High,aspirin,ARTIFACTS,0,1,0,0,0,1,1,0
19,Low,jewel,ARTIFACTS,0,0,0,0,1,1,0,0
19,High,ruby,ARTIFACTS,0,0,0,0,1,1,0,0
20,Low,appliance,ARTIFACTS,0,0,1,0,0,0,1,1
20,High,refrigerator,ARTIFACTS,0,0,1,0,0,0,1,1
21,Low,jewelry,ARTIFACTS,0,0,0,0,1,1,1,0
21,High,ring,ARTIFACTS,0,0,0,0,1,1,1,0
22,Low,coin,ARTIFACTS,0,0,0,0,0,1,1,0
22,High,penny,ARTIFACTS,0,0,0,0,0,1,1,0
23,Low,weapon,ARTIFACTS,0,0,0,0,0,0,1,0
23,High,gun,ARTIFACTS,0,0,0,0,0,1,1,0
24,Low,fabric,ARTIFACTS,0,0,0,0,1,1,0,0
24,High,silk,ARTIFACTS,0,0,0,0,1,1,0,0
25,Low,tool,ARTIFACTS,0,0,0,0,0,1,0,0
25,High,axe,ARTIFACTS,0,0,0,0,0,1,1,0
26,Low,container,ARTIFACTS,0,0,0,0,0,0,0,0
26,High,bowl,ARTIFACTS,0,0,0,0,0,1,1,0
27,Low,makeup,ARTIFACTS,0,0,0,0,1,1,1,0
27,High,lipstick,ARTIFACTS,0,0,0,0,1,1,1,0
49,Low,gadget,ARTIFACTS,0,0,0,0,0,1,1,1
49,High,phone,ARTIFACTS,0,0,1,0,0,1,1,1
28,Low,shoes,CLOTHES+ACCESS,0,0,0,0,1,1,1,0
28,High,sneakers,CLOTHES+ACCESS,0,0,0,0,1,1,1,0
