PairNumber,Condition,Noun,Category,Is it alive?,Can you eat or drink it?,Can you find it in the wild?,Can you wear it?,Can you hold it?,Did humans create it?,Does it make sounds?,Does it float in water?
1,Low,Dog,ANIMAL,1,0,-1,0,1,0,1,1
1,High,Bulldog,ANIMAL,1,0,0,0,1,-1,1,0
2,Low,Insect,ANIMAL,1,0,1,0,1,0,1,1
2,High,Bee,ANIMAL,1,0,1,0,1,0,1,1
3,Low,Bear,ANIMAL,1,0,1,0,-1,0,1,1
3,High,Panda,ANIMAL,1,0,1,0,-1,0,1,1
4,Low,Pet,ANIMAL,1,0,0,0,1,-1,-1,1
4,High,Cat,ANIMAL,1,0,-1,0,1,-1,1,1
5,Low,Mammal,ANIMAL,1,0,1,0,-1,0,1,1
5,High,Mouse,ANIMAL,1,0,1,0,1,0,1,1
6,Low,Fish,ANIMAL,1,1,1,0,1,0,0,0
6,High,Salmon,ANIMAL,1,1,1,0,1,0,0,0
7,Low,Snake,ANIMAL,1,0,1,0,1,0,1,0
7,High,Cobra,ANIMAL,1,0,1,0,1,0,1,0
8,Low,Ape,ANIMAL,1,0,1,0,0,0,1,0
8,High,Gorilla,ANIMAL,1,0,1,0,0,0,1,0
9,Low,Bird,ANIMAL,1,0,1,0,1,0,1,1
9,High,Sparrow,ANIMAL,1,0,1,0,1,0,1,1
10,Low,Lizard,ANIMAL,1,0,1,0,1,0,-1,1
10,High,Gecko,ANIMAL,1,0,1,0,1,0,-1,1
11,Low,Marsupial,ANIMAL,1,0,1,0,-1,0,-1,1
11,High,Kangaroo,ANIMAL,1,0,1,0,0,0,-1,1
12,Low,Poultry,ANIMAL,1,1,1,0,1,0,1,1
12,High,Turkey,ANIMAL,1,1,1,0,1,0,1,1
13,Low,Amphibian,ANIMAL,1,0,1,0,1,0,1,0
13,High,Frog,ANIMAL,1,-1,1,0,1,0,1,0
14,Low,Spider,ANIMAL,1,0,1,0,1,0,-1,1
14,High,Tarantula,ANIMAL,1,0,1,0,1,0,-1,1
15,Low,Furniture,ARTIFACTS,0,0,0,0,-1,1,0,0
15,High,Table,ARTIFACTS,0,0,0,0,1,1,0,0
16,Low,Utensil,ARTIFACTS,0,0,0,0,1,1,0,0
16,High,Fork,ARTIFACTS,0,0,0,0,1,1,0,0
17,Low,Medicine,ARTIFACTS,0,1,0,0,1,1,0,0
17,High,Aspirin,ARTIFACTS,0,1,0,0,1,1,0,0
19,Low,Jewel,ARTIFACTS,0,0,0,1,1,-1,0,0
19,High,Ruby,ARTIFACTS,0,0,0,1,1,-1,0,0
20,Low,Appliance,ARTIFACTS,0,0,0,0,-1,1,1,0
20,High,Refrigerator,ARTIFACTS,0,0,0,0,-1,1,1,0
21,Low,Jewelry,ARTIFACTS,0,0,0,1,1,1,0,0
21,High,Ring,ARTIFACTS,0,0,0,1,1,1,0,0
22,Low,Coin,ARTIFACTS,0,0,0,0,1,1,0,0
22,High,Penny,ARTIFACTS,0,0,0,0,1,1,0,0
23,Low,Weapon,ARTIFACTS,0,0,0,-1,-1,1,0,0
23,High,Gun,ARTIFACTS,0,0,0,-1,1,1,0,0
24,Low,Fabric,ARTIFACTS,0,0,0,1,1,-1,0,1
24,High,Silk,ARTIFACTS,0,0,0,1,1,-1,0,1
25,Low,Tool,ARTIFACTS,0,0,-1,-1,1,-1,0,0
25,High,Axe,ARTIFACTS,0,0,0,-1,1,1,0,0
26,Low,Container,ARTIFACTS,0,0,0,0,-1,-1,0,1
26,High,Bowl,ARTIFACTS,0,0,0,0,1,1,0,1
27,Low,Makeup,ARTIFACTS,0,0,0,1,1,1,0,0
27,High,Lipstick,ARTIFACTS,0,0,0,1,1,1,0,0
49,Low,Gadget,ARTIFACTS,0,0,0,-1,1,1,1,0
49,High,Phone,ARTIFACTS,0,0,0,-1,1,1,1,0
28,Low,Shoes,CLOTHES+ACCESS,0,0,0,1,1,1,0,0
28,High,Sneakers,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
29,Low,Bag,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
29,High,Purse,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
30,Low,Hat,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
30,High,Beret,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
31,Low,Pants,CLOTHES+ACCESS,0,0,0,1,1,1,0,0
31,High,Jeans,CLOTHES+ACCESS,0,0,0,1,1,1,0,0
32,Low,Parent,FAMILY,1,0,0,0,0,0,1,-1
32,High,Mother,FAMILY,1,0,0,0,0,0,1,-1
33,Low,Relative,FAMILY,1,0,0,0,0,0,1,-1
33,High,Uncle,FAMILY,1,0,0,0,0,0,1,-1
