Pair_n,High_Word,High_Rating,Low_Word,Low_Rating,TTest_pvalue
34,grandfather,5.2,grandparent,4.95,0.521773448
87,university,3.65,institution,3.15,0.255145174
31,jeans,4.45,pants,3.9,0.248074216
52,cake,3.9,dessert,3,0.058263547
95,newspaper,4.05,media,2.95,0.052814771
26,bowl,4.35,container,3.25,0.044963136
88,comedy,4.15,genre,3.15,0.022881831
23,gun,3.8,weapon,2.85,0.021821901
75,drummer,4.7,musician,3.5,0.021510541
3,panda,5.65,bear,4.8,0.019971375
70,surgeon,5.25,doctor,4.3,0.019768851
86,democracy,4.95,ideology,3.45,0.019363147
28,sneakers,4.2,shoes,3.35,0.015179022
72,senator,5.35,politician,4.2,0.013958192
8,gorilla,5.85,ape,4.85,0.009714064
21,ring,3.9,jewelry,2.9,0.009714064
48,donut,4.45,pastry,3.45,0.009714064
7,cobra,5.65,snake,4.1,0.008751264
15,table,3.85,furniture,2.75,0.008717592
32,mother,5.6,parent,4.4,0.007523484
13,frog,4.55,amphibian,3.4,0.005995085
89,spring,5,season,3.8,0.004639374
96,bongo,5.7,drum,4.55,0.004534523
11,kangaroo,6,marsupial,4.45,0.004306314
91,marble,4.85,stone,3.45,0.004276485
27,lipstick,4.631578947,makeup,3.35,0.004127821
57,tea,3.85,beverage,2.5,0.003978894
71,chemist,5.2,scientist,4,0.003479991
67,water,4.5,liquid,2.5,0.00341647
77,ballerina,5.3,dancer,3.9,0.002720774
80,hotel,4.05,building,3,0.00260951
74,impressionist,5.3,artist,3.3,0.001576397
50,vodka,5.6,alcohol,3.55,0.001536237
83,kitchen,5,room,2.95,0.001428122
51,daughter,5.45,offspring,3.65,0.00133279
29,purse,4.05,bag,2.8,0.001292109
73,comedian,4.35,entertainer,3,0.001061811
43,bagel,4.9,bread,3.5,0.000948191
49,phone,4.15,gadget,2.5,0.000873194
61,pinkie,6.05,finger,4.55,0.000873194
63,rose,5.1,flower,2.95,0.000790866
40,beef,4.75,meat,3.1,0.000657641
82,zombie,5.6,monster,3.4,0.000657641
20,refrigerator,4.95,appliance,3.1,0.000654437
76,queen,5.4,royalty,3.85,0.00064402
55,cheddar,5.45,cheese,3.3,0.000611268
5,mouse,4.65,mammal,2.55,0.000456558
10,gecko,5.9,lizard,4.05,0.000449163
12,turkey,5.65,poultry,4.2,0.000375114
79,algebra,5.55,math,3.5,0.000356167
39,jade,5.85,crystal,4.1,0.00035176
24,silk,5.1,fabric,2.95,0.000339698
18,lollipop,4.95,candy,2.8,0.000304661
59,arm,5.65,limb,3.5,0.000272267
64,maple,5.55,tree,2.95,0.000264929
1,bulldog,5.35,dog,3.25,0.000261352
69,gold,5.5,metal,3.1,0.00025352
38,spaghetti,5.7,pasta,3.7,0.00019783
78,anger,5.05,emotion,2.6,0.000169916
22,penny,5.5,coin,3.05,0.00012413
35,cappuccino,6,coffee,4.35,0.000119275
85,dollar,5.4,currency,3.15,9.69E-05
93,checkers,5.684210526,game,2.75,7.60E-05
58,brain,5.85,organ,3.2,7.08E-05
81,murder,5.1,crime,2.5,6.38E-05
33,uncle,5.75,relative,3.45,5.87E-05
9,sparrow,6,bird,2.9,5.72E-05
45,ketchup,5.25,condiment,2.65,5.03E-05
36,apple,5,fruit,2.6,4.36E-05
53,earth,6,planet,3.35,3.08E-05
68,oxygen,6,element,2.842105263,2.68E-05
62,biceps,6.05,muscle,3.45,1.67E-05
54,chardonnay,5.85,wine,3.6,1.46E-05
60,femur,6.1,bone,3.2,1.45E-05
44,salt,5.45,seasoning,3.1,1.40E-05
4,cat,3.95,pet,2.35,1.34E-05
84,stroke,4.65,disease,2.6,1.28E-05
41,coke,5.6,soda,3.1,6.68E-06
2,bee,5.15,insect,2.35,4.05E-06
37,broccoli,5.8,vegetable,2.8,3.44E-06
46,gravy,4.95,sauce,2.95,3.17E-06
90,kayak,5.8,boat,3.8,3.17E-06
6,salmon,5.75,fish,2.7,2.98E-06
19,ruby,5.9,jewel,2.95,2.82E-06
92,baseball,5.55,sport,2.5,2.53E-06
47,wheat,5.35,crop,2.75,1.99E-06
94,tango,5.85,dance,2.95,1.83E-06
42,parsley,5.9,herb,2.9,1.72E-06
56,ginger,5.65,spice,2.65,1.72E-06
14,tarantula,5.65,spider,3.6,1.24E-06
30,beret,5.7,hat,2.75,1.08E-06
66,silicon,5.9,mineral,2.95,1.08E-06
17,aspirin,6,medicine,3.05,7.03E-07
16,fork,5.8,utensil,3,2.52E-07
25,axe,5.4,tool,2.25,2.05E-07
65,earthquake,6.15,disaster,2.8,1.32E-07
